FilteredChannel1,FilteredChannel2,FilteredChannel3,FilteredChannel4
-0.122402,1.709718,-0.185257,-0.125974
0.008507,-1.744161,0.090948,-0.097743
0.099068,-0.982263,0.072779,0.173202
-0.031789,0.510719,0.063468,0.056269
-0.089910,0.464591,-0.122786,-0.147918
0.227431,0.981619,0.101898,0.125467
0.114723,-2.805646,0.292688,0.244268
-0.254226,2.331914,-0.125798,0.368063
-0.910826,-0.788272,-1.644294,-2.381026
1.462819,-0.930962,1.689443,1.653017
1.164594,0.665173,0.028115,-0.101287
-5.345320,2.597271,-5.535510,-1.212587
3.056733,-1.096002,5.042355,3.147144
-0.824520,-1.250962,-2.537958,-2.129154
-1.231853,2.344502,-0.102699,0.800299
9.650706,-2.018502,10.969729,4.479910
-10.058658,0.463176,-10.105558,-9.462875
0.425117,-1.380893,-0.179581,3.867836
4.304250,-0.496106,2.536147,-0.334416
-4.799337,4.519010,-0.899912,0.508468
-0.897883,-4.311201,-2.629814,-1.953856
6.484088,1.224986,5.952117,3.859677
-2.940646,-2.067571,-1.733383,0.460664
-0.722796,2.690853,-1.686916,-1.481005
-1.053463,-1.108790,-1.644383,-1.599834
-2.526677,3.009735,-1.273745,-1.614116
3.725639,-3.129095,3.069689,1.461897
5.241111,0.994828,3.577815,3.220565
-2.933726,0.495717,-0.836063,0.632652
1.868027,-1.550255,-0.460557,-0.879251
0.603634,1.439586,-0.434567,-1.507624
-6.528257,0.694333,-3.044883,-0.489334
1.032980,-2.835023,-0.914766,-1.329223
1.788161,1.534342,3.526145,2.195445
-0.090832,-0.067866,-0.600394,-0.596477
0.636264,1.464091,-0.165021,-0.123751
-1.055808,-1.893828,-0.978393,0.363259
0.473526,-0.775915,3.675520,3.092293
1.219702,-0.093560,-1.773670,-1.763742
-0.406864,0.927924,0.331088,0.164735
-0.566048,1.228641,-0.991198,-0.706281
-0.317230,1.113363,-0.807452,-0.735964
0.295025,-3.497518,0.812517,0.462395
0.352262,3.529325,-0.218621,-0.077773
-1.089262,-1.965144,-0.295763,-0.612517
0.022045,2.628098,-0.283092,-0.418642
0.594644,-2.761523,1.001943,0.886091
0.673271,1.003553,0.035822,-0.017673
-0.560214,-0.414948,-0.733243,-0.607401
0.251106,1.506599,0.250592,0.035646
-1.236167,-1.951280,-0.596324,-0.339325
2.168889,-0.034659,1.532812,1.379395
-0.738570,1.143103,-0.618830,-0.458782
-1.609458,-0.528386,-1.448097,-1.171935
1.407741,-1.285022,1.430064,1.187171
-0.562865,2.525807,-0.446638,-0.344435
0.307342,-2.173537,0.115455,0.112094
-0.322048,2.755531,-0.280669,-0.427020
-0.280935,-1.139381,-0.309255,-0.127667
0.604557,-0.404983,0.521845,0.359234
-0.359033,-3.050492,-0.078342,0.176375
0.255921,0.867894,0.062111,-0.182627
-0.150961,1.453116,-0.106908,0.024318
0.241806,-2.734656,0.176389,0.153713
-0.051052,3.746300,-0.200176,-0.238485
-0.536897,0.881018,-0.449232,-0.510569
0.454565,-0.842460,0.479309,0.525598
-0.213163,-1.817591,-0.164656,-0.101542
0.065933,1.650277,0.102127,0.038779
0.107340,-3.280121,0.016005,-0.001059
0.206498,1.827339,0.164979,0.231024
0.134870,-1.914317,0.135528,0.147161
-0.569531,2.853207,-0.302152,-0.243710
0.276756,-0.297660,0.189094,0.011141
-0.317461,1.110765,-0.430853,-0.295601
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
