ch_0	ch_1	ch_2	ch_3	ch_4	ch_5	ch_6	ch_7	ch_8	ch_9	ch_10	ch_11	ch_12	ch_13	ch_14	ch_15	ch_16	ch_17	ch_18	ch_19	ch_20	ch_21	ch_22	ch_23	ch_24	ch_25	ch_26	timestamp	marker	ch_29	ch_30	ch_31	ch_32	ch_33	ch_34	ch_35	ch_36	ch_37	ch_38	GestureLabel	CueLabel	TrialNumber	SessionId	MarkerColumn
-73603.8	-35215.155	-109845.22499999999	-19814.489999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.055358745	0.059387055	1.078061205	-6.36342	-13.703479999999999	3.0977799999999998	3503297.0	1776545398.404644	4.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
-73584.045	-35194.77	-109892.15999999999	-19802.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.055358745	0.059387055	1.078061205	-6.36342	-13.703479999999999	3.0977799999999998	3503298.0	1776545398.40466	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
-73569.23999999999	-35177.534999999996	-109773.18	-19769.265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.055358745	0.059387055	1.078061205	-6.36342	-13.703479999999999	3.0977799999999998	3503299.0	1776545398.406796	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
-73570.545	-35172.945	-109725.61499999999	-19763.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.055358745	0.059387055	1.078061205	-6.36342	-13.703479999999999	3.0977799999999998	3503300.0	1776545398.406811	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
-73544.265	-35178.345	-109653.885	-19690.155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.055358745	0.059387055	1.078061205	-6.36342	-13.703479999999999	3.0977799999999998	3503301.0	1776545398.411055	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
-73450.845	-35191.845	-109525.95	-19645.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.055358745	0.059387055	1.078061205	-6.36342	-13.703479999999999	3.0977799999999998	3503302.0	1776545398.41107	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
-73579.905	-35219.34	-109664.90999999999	-19859.219999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.055358745	0.059387055	1.078061205	-6.36342	-13.703479999999999	3.0977799999999998	3503303.0	1776545398.414945	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
-73642.14	-35229.465	-109765.53	-19977.165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.055358745	0.059387055	1.078061205	-6.36342	-13.703479999999999	3.0977799999999998	3503304.0	1776545398.41496	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
-73610.19	-35220.555	-109804.76999999999	-19920.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.01647945	0.093078375	0.99902088	-20.1432	-11.841759999999999	-14.43596	3503305.0	1776545398.419098	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
-73578.23999999999	-35211.375	-109911.23999999999	-19871.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.01647945	0.093078375	0.99902088	-20.1432	-11.841759999999999	-14.43596	3503306.0	1776545398.419102	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
-73571.12999999999	-35195.715	-109841.12999999999	-19799.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.01647945	0.093078375	0.99902088	-20.1432	-11.841759999999999	-14.43596	3503307.0	1776545398.422911	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
-73554.25499999999	-35182.619999999995	-109738.485	-19755.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37931034482761	0.0	-0.01647945	0.093078375	0.99902088	-20.1432	-11.841759999999999	-14.43596	3503308.0	1776545398.422926	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	spider-man	Spiderman	1	calibration_20260418_134934	marker
