Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-23926.635000	-34018.875000	-32942.925000	-18893.790000	0.000000	0.000000	0.000000	0.000000	-1.803731	0.079541	-3.324463	-3.153164	-0.000000	0.000000	-0.000000	-0.000000	-1.617560	-0.671440	-0.061040	-0.000977	0.985044	0.017944	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630879.000000	1772311922.084297
-23927.490000	-33987.960000	-32944.500000	-18894.240000	0.000000	0.000000	0.000000	0.000000	-0.447329	13.065808	-1.796174	-1.182246	-0.000000	0.000000	-0.000000	-0.000000	-1.617560	-0.671440	-0.061040	-0.000977	0.985044	0.017944	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630880.000000	1772311922.084300
-23940.855000	-33920.730000	-32958.765000	-18907.740000	0.000000	0.000000	0.000000	0.000000	1.507538	27.985416	0.877338	1.493515	-0.000000	0.000000	-0.000000	-0.000000	-1.617560	-0.671440	-0.061040	-0.000977	0.985044	0.017944	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630881.000000	1772311922.088437
-23937.030000	-33923.880000	-32953.905000	-18904.095000	0.000000	0.000000	0.000000	0.000000	1.837189	38.518419	1.942369	2.432261	-0.000000	0.000000	-0.000000	-0.000000	-1.617560	-0.671440	-0.061040	-0.000977	0.985044	0.017944	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630882.000000	1772311922.088439
-23936.895000	-33934.365000	-32954.625000	-18903.915000	0.000000	0.000000	0.000000	0.000000	0.473815	36.503568	1.036127	1.395547	-0.000000	0.000000	-0.000000	-0.000000	3.937080	-0.152600	0.289940	0.004700	0.974119	0.020691	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630883.000000	1772311922.092553
-23936.310000	-33930.135000	-32955.120000	-18905.175000	0.000000	0.000000	0.000000	0.000000	-0.818976	17.775614	-0.150977	0.061784	-0.000000	0.000000	-0.000000	-0.000000	3.937080	-0.152600	0.289940	0.004700	0.974119	0.020691	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630884.000000	1772311922.092556
-23937.705000	-33914.745000	-32957.145000	-18907.695000	0.000000	0.000000	0.000000	0.000000	-0.911578	-10.479881	-0.473437	-0.428476	-0.000000	0.000000	-0.000000	-0.000000	3.937080	-0.152600	0.289940	0.004700	0.974119	0.020691	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630885.000000	1772311922.096489
-23936.400000	-33927.165000	-32954.490000	-18904.365000	0.000000	0.000000	0.000000	0.000000	-0.086073	-34.188209	-0.020781	-0.141789	-0.000000	0.000000	-0.000000	-0.000000	3.937080	-0.152600	0.289940	0.004700	0.974119	0.020691	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630886.000000	1772311922.096493
-23924.655000	-33943.860000	-32944.095000	-18891.945000	0.000000	0.000000	0.000000	0.000000	1.073368	-44.109079	0.912842	0.752352	-0.000000	0.000000	-0.000000	-0.000000	3.937080	-0.152600	0.289940	0.004700	0.974119	0.020691	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630887.000000	1772311922.101042
-23930.955000	-33929.595000	-32952.870000	-18899.325000	0.000000	0.000000	0.000000	0.000000	2.195657	-39.579587	1.992015	2.054463	-0.000000	0.000000	-0.000000	-0.000000	3.937080	-0.152600	0.289940	0.004700	0.974119	0.020691	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630888.000000	1772311922.101045
-23934.780000	-33938.370000	-32955.795000	-18902.430000	0.000000	0.000000	0.000000	0.000000	2.405157	-24.489982	2.158978	2.594388	-0.000000	0.000000	-0.000000	-0.000000	3.937080	-0.152600	0.289940	0.004700	0.974119	0.020691	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630889.000000	1772311922.105361
-23939.550000	-33943.455000	-32958.945000	-18903.960000	0.000000	0.000000	0.000000	0.000000	0.813311	-5.111199	0.571329	1.203232	-0.000000	0.000000	-0.000000	-0.000000	3.937080	-0.152600	0.289940	0.004700	0.974119	0.020691	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630890.000000	1772311922.105364
-23933.115000	-33951.195000	-32952.870000	-18898.065000	0.000000	0.000000	0.000000	0.000000	-1.848550	11.287318	-1.832442	-1.371114	-0.000000	0.000000	-0.000000	-0.000000	3.937080	-0.152600	0.289940	0.004700	0.974119	0.020691	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630891.000000	1772311922.108525
-23929.335000	-33959.385000	-32948.325000	-18893.025000	0.000000	0.000000	0.000000	0.000000	-3.463354	19.919377	-3.018177	-3.016016	0.000000	0.000000	-0.000000	-0.000000	3.937080	-0.152600	0.289940	0.004700	0.974119	0.020691	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630892.000000	1772311922.108528
-23931.945000	-33944.535000	-32956.065000	-18900.495000	0.000000	0.000000	0.000000	0.000000	-2.783586	20.632442	-2.147671	-2.670921	0.000000	0.000000	-0.000000	-0.000000	9.461200	-0.701960	0.350980	0.002563	0.978208	0.016357	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630893.000000	1772311922.113325
-23927.175000	-33973.785000	-32950.980000	-18895.590000	0.000000	0.000000	0.000000	0.000000	-0.633871	16.306428	-0.388657	-1.269627	0.000000	0.000000	-0.000000	-0.000000	9.461200	-0.701960	0.350980	0.002563	0.978208	0.016357	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630894.000000	1772311922.113328
-23923.845000	-33979.635000	-32946.615000	-18892.800000	0.000000	0.000000	0.000000	0.000000	1.452108	9.296733	0.966454	-0.011861	0.000000	0.000000	-0.000000	-0.000000	9.461200	-0.701960	0.350980	0.002563	0.978208	0.016357	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.620690	0.000000	-1.000000	-1.000000	630895.000000	1772311922.117644
