Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-20409.390000	-26420.220000	-26898.750000	-14485.095000	0.000000	0.000000	0.000000	0.000000	-4.325245	0.215267	-5.652151	-7.286701	-0.000000	0.000000	-0.000000	-0.000000	7.965720	-0.915600	1.861720	-0.010559	0.979856	-0.024780	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487003.000000	1772311633.443724
-20409.885000	-26427.060000	-26899.020000	-14485.545000	0.000000	0.000000	0.000000	0.000000	-8.666888	1.716189	-10.547976	-10.661851	-0.000000	0.000000	-0.000000	-0.000000	7.965720	-0.915600	1.861720	-0.010559	0.979856	-0.024780	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487004.000000	1772311633.443727
-20407.815000	-26463.330000	-26897.895000	-14484.870000	0.000000	0.000000	0.000000	0.000000	-8.766743	1.243693	-10.173813	-9.106596	-0.000000	0.000000	-0.000000	-0.000000	7.965720	-0.915600	1.861720	-0.010559	0.979856	-0.024780	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487005.000000	1772311633.447732
-20406.645000	-26454.780000	-26892.405000	-14478.570000	0.000000	0.000000	0.000000	0.000000	-7.116166	-1.736428	-7.508748	-5.935085	-0.000000	0.000000	-0.000000	-0.000000	7.965720	-0.915600	1.861720	-0.010559	0.979856	-0.024780	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487006.000000	1772311633.447734
-20410.695000	-26461.215000	-26896.905000	-14484.555000	0.000000	0.000000	0.000000	0.000000	-5.247441	-5.348700	-4.631203	-3.206734	-0.000000	0.000000	-0.000000	-0.000000	7.965720	-0.915600	1.861720	-0.010559	0.979856	-0.024780	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487007.000000	1772311633.451593
-20417.535000	-26517.330000	-26906.130000	-14492.430000	0.000000	0.000000	0.000000	0.000000	-3.861607	-6.831407	-2.699080	-1.830693	-0.000000	0.000000	-0.000000	-0.000000	7.965720	-0.915600	1.861720	-0.010559	0.979856	-0.024780	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487008.000000	1772311633.451597
-20417.310000	-26570.385000	-26902.980000	-14480.370000	0.000000	0.000000	0.000000	0.000000	-3.020111	-7.593726	-2.081044	-1.672568	-0.000000	0.000000	-0.000000	-0.000000	7.965720	-0.915600	1.861720	-0.010559	0.979856	-0.024780	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487009.000000	1772311633.455728
-20413.980000	-26583.705000	-26901.270000	-14474.295000	0.000000	0.000000	0.000000	0.000000	-1.962438	-9.471908	-1.770111	-1.129695	-0.000000	0.000000	-0.000000	-0.000000	7.965720	-0.915600	1.861720	-0.010559	0.979856	-0.024780	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487010.000000	1772311633.455731
-20396.925000	-26578.575000	-26882.820000	-14455.620000	0.000000	0.000000	0.000000	0.000000	0.421022	-8.785361	-0.098107	1.302769	-0.000000	0.000000	-0.000000	-0.000000	7.965720	-0.915600	1.861720	-0.010559	0.979856	-0.024780	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487011.000000	1772311633.459714
-20389.635000	-26590.905000	-26884.215000	-14482.260000	0.000000	0.000000	0.000000	0.000000	4.365705	-0.739614	3.371351	4.537558	-0.000000	0.000000	-0.000000	-0.000000	7.965720	-0.915600	1.861720	-0.010559	0.979856	-0.024780	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487012.000000	1772311633.459718
-20398.995000	-26591.400000	-26891.325000	-14497.875000	0.000000	0.000000	0.000000	0.000000	7.954663	12.818436	6.569619	4.898011	-0.000000	0.000000	-0.000000	-0.000000	5.569900	-0.442540	1.327620	-0.006653	0.982114	-0.030701	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487013.000000	1772311633.464555
-20422.890000	-26571.690000	-26908.920000	-14500.665000	0.000000	0.000000	0.000000	0.000000	7.645293	24.908806	6.250066	0.508273	-0.000000	0.000000	-0.000000	-0.000000	5.569900	-0.442540	1.327620	-0.006653	0.982114	-0.030701	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487014.000000	1772311633.464560
-20407.725000	-26544.690000	-26892.765000	-14481.945000	0.000000	0.000000	0.000000	0.000000	2.196263	30.409641	1.833268	-4.976226	-0.000000	0.000000	-0.000000	-0.000000	5.569900	-0.442540	1.327620	-0.006653	0.982114	-0.030701	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487015.000000	1772311633.467657
-20401.965000	-26554.860000	-26888.940000	-14476.230000	0.000000	0.000000	0.000000	0.000000	-4.399926	27.728704	-3.012773	-5.879409	-0.000000	0.000000	-0.000000	-0.000000	5.569900	-0.442540	1.327620	-0.006653	0.982114	-0.030701	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.827586	0.000000	-1.000000	-1.000000	487016.000000	1772311633.467660
