Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-20953.080000	-28769.265000	-28027.755000	-15146.820000	0.000000	0.000000	0.000000	0.000000	-4.718419	19.956120	-3.269308	-2.108189	0.000000	0.000000	-0.000000	0.000000	8.988140	0.763000	-0.610400	-0.017029	0.973813	0.052368	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543861.000000	1772311747.504238
-20930.670000	-28763.100000	-28007.415000	-15133.455000	0.000000	0.000000	0.000000	0.000000	-2.779550	10.030885	-1.870741	-1.320176	0.000000	0.000000	-0.000000	0.000000	8.988140	0.763000	-0.610400	-0.017029	0.973813	0.052368	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543862.000000	1772311747.504241
-20932.920000	-28786.950000	-28010.880000	-15139.620000	0.000000	0.000000	0.000000	0.000000	1.944242	0.558086	1.545023	0.659145	0.000000	0.000000	-0.000000	0.000000	9.293340	0.381500	-0.763000	-0.017090	0.977842	0.047607	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543863.000000	1772311747.508405
-20939.535000	-28817.730000	-28021.545000	-15156.495000	0.000000	0.000000	0.000000	0.000000	6.558047	-8.237834	4.772937	2.025125	0.000000	0.000000	-0.000000	0.000000	9.293340	0.381500	-0.763000	-0.017090	0.977842	0.047607	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543864.000000	1772311747.508429
-20947.095000	-28809.090000	-28028.610000	-15160.905000	0.000000	0.000000	0.000000	0.000000	6.984548	-16.443985	4.464609	0.543456	0.000000	0.000000	-0.000000	0.000000	9.293340	0.381500	-0.763000	-0.017090	0.977842	0.047607	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543865.000000	1772311747.512312
-20951.235000	-28787.985000	-28031.085000	-15161.760000	0.000000	0.000000	0.000000	0.000000	2.350705	-19.573112	0.217826	-3.079918	0.000000	0.000000	-0.000000	0.000000	9.293340	0.381500	-0.763000	-0.017090	0.977842	0.047607	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543866.000000	1772311747.512315
-20955.780000	-28759.005000	-28032.255000	-15164.730000	0.000000	0.000000	0.000000	0.000000	-4.211724	-12.578538	-4.780466	-5.593144	0.000000	0.000000	-0.000000	0.000000	9.293340	0.381500	-0.763000	-0.017090	0.977842	0.047607	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543867.000000	1772311747.516320
-20956.770000	-28723.770000	-28032.165000	-15165.270000	0.000000	0.000000	0.000000	0.000000	-8.552560	3.384202	-6.972153	-4.787180	0.000000	0.000000	-0.000000	0.000000	9.293340	0.381500	-0.763000	-0.017090	0.977842	0.047607	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543868.000000	1772311747.516323
-20952.090000	-28687.860000	-28026.765000	-15154.290000	0.000000	0.000000	0.000000	0.000000	-8.319812	20.791522	-5.093084	-0.948392	0.000000	0.000000	-0.000000	0.000000	9.293340	0.381500	-0.763000	-0.017090	0.977842	0.047607	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543869.000000	1772311747.520295
-20947.635000	-28677.825000	-28025.415000	-15157.035000	0.000000	0.000000	0.000000	0.000000	-3.816353	30.597358	-0.406036	4.075196	0.000000	0.000000	-0.000000	0.000000	9.293340	0.381500	-0.763000	-0.017090	0.977842	0.047607	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543870.000000	1772311747.520298
-20944.890000	-28679.400000	-28021.815000	-15158.205000	0.000000	0.000000	0.000000	0.000000	2.499155	26.839913	4.457286	7.652657	0.000000	0.000000	-0.000000	0.000000	9.293340	0.381500	-0.763000	-0.017090	0.977842	0.047607	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543871.000000	1772311747.525816
-20944.845000	-28678.545000	-28023.570000	-15158.610000	0.000000	0.000000	0.000000	0.000000	7.365680	10.094074	7.045120	7.722565	0.000000	0.000000	-0.000000	0.000000	9.293340	0.381500	-0.763000	-0.017090	0.977842	0.047607	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543872.000000	1772311747.525819
-20953.710000	-28673.145000	-28033.200000	-15161.040000	0.000000	0.000000	0.000000	0.000000	8.373087	-11.807623	6.138464	4.404199	0.000000	0.000000	-0.000000	0.000000	6.744920	0.030520	-0.640920	-0.016846	0.983701	0.039856	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	146.758621	0.000000	-1.000000	-1.000000	543873.000000	1772311747.528419
