ch_0	ch_1	ch_2	ch_3	ch_4	ch_5	ch_6	ch_7	ch_8	ch_9	ch_10	ch_11	ch_12	ch_13	ch_14	ch_15	ch_16	ch_17	ch_18	ch_19	ch_20	ch_21	ch_22	ch_23	ch_24	ch_25	ch_26	timestamp	marker	ch_29	ch_30	ch_31	ch_32	ch_33	ch_34	ch_35	ch_36	ch_37	ch_38	MarkerColumn	GestureLabel	CueLabel	SampleNumber	CollectionDate
-66944.565	-53750.88	-103077.58499999999	-18108.405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.041259660000000004	-0.107238495	1.0107396	2.9757	0.57988	-0.6409199999999999	3210997.0	1776544811.892231	3.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	15	0418
-66830.67	-53743.14	-102972.69	-17948.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.041259660000000004	-0.107238495	1.0107396	2.9757	0.57988	-0.6409199999999999	3210998.0	1776544811.892249	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	15	0418
-66812.94	-53757.9	-103117.815	-17917.155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.041259660000000004	-0.107238495	1.0107396	2.9757	0.57988	-0.6409199999999999	3210999.0	1776544811.895923	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	15	0418
-66870.27	-53764.65	-103181.58	-17985.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.041259660000000004	-0.107238495	1.0107396	2.9757	0.57988	-0.6409199999999999	3211000.0	1776544811.89594	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	15	0418
-66894.75	-53761.229999999996	-103166.055	-18040.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.041259660000000004	-0.107238495	1.0107396	2.9757	0.57988	-0.6409199999999999	3211001.0	1776544811.900273	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	15	0418
-66880.845	-53761.454999999994	-103108.455	-17998.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.041259660000000004	-0.107238495	1.0107396	2.9757	0.57988	-0.6409199999999999	3211002.0	1776544811.900289	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	15	0418
-66896.37	-53755.829999999994	-103061.79	-17925.255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.041259660000000004	-0.107238495	1.0107396	2.9757	0.57988	-0.6409199999999999	3211003.0	1776544811.904211	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	15	0418
-66806.955	-53738.685	-102928.815	-17785.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.041259660000000004	-0.107238495	1.0107396	2.9757	0.57988	-0.6409199999999999	3211004.0	1776544811.904227	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	15	0418
-66839.94	-53738.909999999996	-102891.465	-17771.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.041259660000000004	-0.107238495	1.0107396	2.9757	0.57988	-0.6409199999999999	3211005.0	1776544811.90817	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	15	0418
-66903.93	-53754.615	-103048.01999999999	-17940.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.041259660000000004	-0.107238495	1.0107396	2.9757	0.57988	-0.6409199999999999	3211006.0	1776544811.908185	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	opened-hand	Open	15	0418
