ch_0	ch_1	ch_2	ch_3	ch_4	ch_5	ch_6	ch_7	ch_8	ch_9	ch_10	ch_11	ch_12	ch_13	ch_14	ch_15	ch_16	ch_17	ch_18	ch_19	ch_20	ch_21	ch_22	ch_23	ch_24	ch_25	ch_26	timestamp	marker	ch_29	ch_30	ch_31	ch_32	ch_33	ch_34	ch_35	ch_36	ch_37	ch_38	GestureLabel	CueLabel	TrialNumber	SessionId	MarkerColumn
-66032.145	-6624.405	-114798.375	-19894.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.13281216	0.105407445	0.99181875	-10.62096	20.26528	3.18934	3758498.0	1776545909.76471	3.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66011.625	-6609.195	-114774.795	-19862.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.13281216	0.105407445	0.99181875	-10.62096	20.26528	3.18934	3758499.0	1776545909.764713	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66022.65	-6610.32	-114711.97499999999	-19815.344999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.103332255	0.116882025	1.011410985	-14.603819999999999	19.27338	3.67766	3758500.0	1776545909.768707	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66072.915	-6631.335	-114720.795	-19818.719999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.103332255	0.116882025	1.011410985	-14.603819999999999	19.27338	3.67766	3758501.0	1776545909.768721	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66126.015	-6657.66	-114768.81	-19865.295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.103332255	0.116882025	1.011410985	-14.603819999999999	19.27338	3.67766	3758502.0	1776545909.772932	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66164.94	-6680.25	-114820.875	-19922.489999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.103332255	0.116882025	1.011410985	-14.603819999999999	19.27338	3.67766	3758503.0	1776545909.772946	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66134.925	-6677.28	-114816.33	-19914.344999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.103332255	0.116882025	1.011410985	-14.603819999999999	19.27338	3.67766	3758504.0	1776545909.776815	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66065.13	-6654.96	-114767.595	-19866.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.103332255	0.116882025	1.011410985	-14.603819999999999	19.27338	3.67766	3758505.0	1776545909.77683	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66026.205	-6629.445	-114759.36	-19862.415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.103332255	0.116882025	1.011410985	-14.603819999999999	19.27338	3.67766	3758506.0	1776545909.780714	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66017.385	-6609.15	-114779.15999999999	-19879.739999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.103332255	0.116882025	1.011410985	-14.603819999999999	19.27338	3.67766	3758507.0	1776545909.780727	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66067.065	-6606.045	-114803.73	-19900.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.103332255	0.116882025	1.011410985	-14.603819999999999	19.27338	3.67766	3758508.0	1776545909.784878	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66101.805	-6624.045	-114794.81999999999	-19897.155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.103332255	0.116882025	1.011410985	-14.603819999999999	19.27338	3.67766	3758509.0	1776545909.784892	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66138.345	-6651.179999999999	-114801.165	-19901.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.076843065	0.10961886	1.030942185	-18.09836	17.808419999999998	2.0601	3758510.0	1776545909.789766	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66168.0	-6674.264999999999	-114826.095	-19926.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.076843065	0.10961886	1.030942185	-18.09836	17.808419999999998	2.0601	3758511.0	1776545909.78978	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66146.805	-6684.48	-114818.12999999999	-19920.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.076843065	0.10961886	1.030942185	-18.09836	17.808419999999998	2.0601	3758512.0	1776545909.792839	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66094.155	-6667.605	-114798.19499999999	-19900.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.076843065	0.10961886	1.030942185	-18.09836	17.808419999999998	2.0601	3758513.0	1776545909.792852	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66048.525	-6640.92	-114783.39	-19882.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.076843065	0.10961886	1.030942185	-18.09836	17.808419999999998	2.0601	3758514.0	1776545909.798758	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66020.895	-6620.985	-114768.98999999999	-19866.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.076843065	0.10961886	1.030942185	-18.09836	17.808419999999998	2.0601	3758515.0	1776545909.798772	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66027.105	-6614.19	-114761.87999999999	-19858.995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.076843065	0.10961886	1.030942185	-18.09836	17.808419999999998	2.0601	3758516.0	1776545909.801634	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66067.65	-6629.175	-114769.53	-19867.364999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.076843065	0.10961886	1.030942185	-18.09836	17.808419999999998	2.0601	3758517.0	1776545909.801647	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66107.43	-6653.88	-114778.03499999999	-19876.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.076843065	0.10961886	1.030942185	-18.09836	17.808419999999998	2.0601	3758518.0	1776545909.807232	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66119.805	-6678.945	-114766.83	-19861.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.076843065	0.10961886	1.030942185	-18.09836	17.808419999999998	2.0601	3758519.0	1776545909.807245	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66100.31999999999	-6687.945	-114750.94499999999	-19847.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.065124345	0.09082008	1.024960755	-16.938599999999997	16.20612	2.7468	3758520.0	1776545909.808855	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
-66040.155	-6672.915	-114722.14499999999	-19822.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.48275862068968	0.0	0.065124345	0.09082008	1.024960755	-16.938599999999997	16.20612	2.7468	3758521.0	1776545909.808868	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	opened-hand	Open	1	20260418_135811	marker
