Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-4168.080000	20916.630000	-21532.320000	-14453.640000	0.000000	0.000000	0.000000	0.000000	89.897993	38.784123	152.070585	137.739941	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635072.000000	1772919300.697687
-4258.260000	20978.550000	-21674.610000	-14582.295000	0.000000	0.000000	0.000000	0.000000	49.403231	35.241242	84.202058	76.125807	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635073.000000	1772919300.697691
-4340.970000	21009.330000	-21804.480000	-14700.015000	0.000000	0.000000	0.000000	0.000000	-17.249651	11.774439	-28.118954	-25.333343	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635074.000000	1772919300.697697
-4321.080000	21051.900000	-21774.915000	-14672.475000	0.000000	0.000000	0.000000	0.000000	-74.560529	-15.495231	-125.117865	-112.721211	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635075.000000	1772919300.697699
-4284.225000	21147.750000	-21714.120000	-14619.060000	0.000000	0.000000	0.000000	0.000000	-91.001380	-31.718990	-154.042673	-138.606912	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635076.000000	1772919300.697703
-4194.990000	21204.180000	-21579.075000	-14497.695000	0.000000	0.000000	0.000000	0.000000	-56.708568	-29.588236	-98.642387	-88.552554	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635077.000000	1772919300.697705
-4087.755000	21186.540000	-21413.115000	-14344.785000	0.000000	0.000000	0.000000	0.000000	10.429699	-14.378818	11.320632	10.531172	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635078.000000	1772919300.699368
-4097.295000	21075.210000	-21427.830000	-14358.105000	0.000000	0.000000	0.000000	0.000000	74.856189	-3.390332	117.468369	106.191389	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635079.000000	1772919300.699371
-4163.895000	21037.995000	-21519.405000	-14443.740000	0.000000	0.000000	0.000000	0.000000	99.836056	-10.602378	160.670995	145.125215	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635080.000000	1772919300.705747
-4218.570000	21038.715000	-21617.505000	-14530.095000	0.000000	0.000000	0.000000	0.000000	68.695521	-29.197177	114.352567	103.109450	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635081.000000	1772919300.705752
-4218.570000	21038.715000	-21617.505000	-14530.095000	0.000000	0.000000	0.000000	0.000000	-0.074833	-36.965717	6.781897	5.679732	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635082.000000	1772919300.707749
-4218.570000	21038.715000	-21617.505000	-14530.095000	0.000000	0.000000	0.000000	0.000000	-64.374632	-20.288069	-96.335420	-87.566134	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635083.000000	1772919300.707751
-4218.570000	21038.715000	-21617.505000	-14530.095000	0.000000	0.000000	0.000000	0.000000	-89.811053	13.859053	-139.677265	-126.601651	0.000000	-0.000000	-0.000000	-0.000000	4.043900	0.534100	-0.900340	-0.012207	0.918882	0.373778	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635084.000000	1772919300.707753
-4068.630000	20826.810000	-21411.405000	-14337.270000	0.000000	0.000000	0.000000	0.000000	-67.927255	43.028160	-108.582966	-98.200283	0.000000	-0.000000	-0.000000	-0.000000	4.715340	-0.045780	-0.259420	-0.012451	0.917661	0.374511	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635086.000000	1772919300.715294
-4049.820000	20829.645000	-21375.450000	-14302.170000	0.000000	0.000000	0.000000	0.000000	-12.903668	45.491694	-25.067280	-22.131384	0.000000	-0.000000	-0.000000	-0.000000	4.715340	-0.045780	-0.259420	-0.012451	0.917661	0.374511	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635087.000000	1772919300.715297
-4106.205000	20795.940000	-21455.235000	-14376.690000	0.000000	0.000000	0.000000	0.000000	43.476315	23.543968	62.217802	57.407490	0.000000	-0.000000	-0.000000	-0.000000	4.715340	-0.045780	-0.259420	-0.012451	0.917661	0.374511	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635088.000000	1772919300.719380
-4158.180000	20715.120000	-21542.265000	-14457.195000	0.000000	0.000000	0.000000	0.000000	65.817027	0.072066	99.590643	91.130833	0.000000	-0.000000	-0.000000	-0.000000	4.715340	-0.045780	-0.259420	-0.012451	0.917661	0.374511	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635089.000000	1772919300.719384
-4250.385000	20701.395000	-21703.230000	-14601.690000	0.000000	0.000000	0.000000	0.000000	41.721984	-9.208027	66.362284	59.996354	0.000000	-0.000000	-0.000000	-0.000000	4.715340	-0.045780	-0.259420	-0.012451	0.917661	0.374511	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635090.000000	1772919300.723413
-4251.735000	20567.430000	-21735.900000	-14631.480000	0.000000	0.000000	0.000000	0.000000	-8.938906	-5.413440	-10.496506	-10.917581	0.000000	-0.000000	-0.000000	-0.000000	4.715340	-0.045780	-0.259420	-0.012451	0.917661	0.374511	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635091.000000	1772919300.723416
-4201.605000	20497.095000	-21666.825000	-14568.570000	0.000000	0.000000	0.000000	0.000000	-49.408115	1.029464	-75.894335	-70.810321	0.000000	-0.000000	-0.000000	-0.000000	5.844580	-0.015260	-0.473060	-0.012939	0.915952	0.375060	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635092.000000	1772919300.727442
-4166.280000	20511.090000	-21590.865000	-14500.440000	0.000000	0.000000	0.000000	0.000000	-51.822661	3.706778	-83.457541	-77.362153	0.000000	-0.000000	-0.000000	-0.000000	5.844580	-0.015260	-0.473060	-0.012939	0.915952	0.375060	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.689655	0.000000	-1.000000	-1.000000	635093.000000	1772919300.727445
