Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-2675.115000	34625.205000	-14672.430000	-16895.700000	0.000000	0.000000	0.000000	0.000000	-128.968363	2.010835	-170.738251	-191.689318	0.000000	0.000000	-0.000000	0.000000	2.365300	2.197440	-4.532220	-0.001404	0.924253	0.391601	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236725.000000	1772918501.834597
-2539.350000	34579.170000	-14504.265000	-16714.755000	0.000000	0.000000	0.000000	0.000000	-69.273167	-62.146365	-90.049871	-106.326664	0.000000	0.000000	-0.000000	0.000000	2.365300	2.197440	-4.532220	-0.001404	0.924253	0.391601	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236726.000000	1772918501.834599
-2394.765000	34560.720000	-14325.930000	-16506.180000	0.000000	0.000000	0.000000	0.000000	31.860011	-98.846941	42.786943	40.574956	0.000000	0.000000	-0.000000	0.000000	2.365300	2.197440	-4.532220	-0.001404	0.924253	0.391601	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236727.000000	1772918501.838412
-2430.270000	34581.645000	-14374.890000	-16550.505000	0.000000	0.000000	0.000000	0.000000	120.777639	-88.096881	157.130571	170.833745	0.000000	0.000000	-0.000000	0.000000	2.365300	2.197440	-4.532220	-0.001404	0.924253	0.391601	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236728.000000	1772918501.838420
-2456.505000	34575.120000	-14425.380000	-16609.725000	0.000000	0.000000	0.000000	0.000000	148.255312	-37.997827	189.995558	212.742151	0.000000	0.000000	-0.000000	0.000000	2.365300	2.197440	-4.532220	-0.001404	0.924253	0.391601	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236729.000000	1772918501.842627
-2567.475000	34624.530000	-14570.910000	-16760.925000	0.000000	0.000000	0.000000	0.000000	97.528566	24.429718	121.663048	141.230549	0.000000	0.000000	-0.000000	0.000000	2.365300	2.197440	-4.532220	-0.001404	0.924253	0.391601	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236730.000000	1772918501.842630
-2708.730000	34589.250000	-14759.145000	-16973.055000	0.000000	0.000000	0.000000	0.000000	-5.040307	70.214922	-11.803615	-5.977243	0.000000	0.000000	-0.000000	0.000000	2.365300	2.197440	-4.532220	-0.001404	0.924253	0.391601	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236731.000000	1772918501.845558
-2693.520000	34479.540000	-14729.850000	-16958.070000	0.000000	0.000000	0.000000	0.000000	-106.479911	79.530180	-140.713876	-151.967206	0.000000	0.000000	-0.000000	0.000000	2.365300	2.197440	-4.532220	-0.001404	0.924253	0.391601	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236732.000000	1772918501.845561
-2650.680000	34466.535000	-14662.080000	-16889.490000	0.000000	0.000000	0.000000	0.000000	-153.118078	49.142650	-195.870038	-219.037860	0.000000	0.000000	-0.000000	0.000000	2.365300	2.197440	-4.532220	-0.001404	0.924253	0.391601	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236733.000000	1772918501.851632
-2587.455000	34492.410000	-14577.345000	-16787.835000	0.000000	0.000000	0.000000	0.000000	-120.398684	-0.256402	-147.453679	-171.189191	0.000000	0.000000	-0.000000	0.000000	2.365300	2.197440	-4.532220	-0.001404	0.924253	0.391601	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236734.000000	1772918501.851635
-2473.470000	34659.360000	-14409.990000	-16601.805000	0.000000	0.000000	0.000000	0.000000	-28.694661	-33.416696	-24.800796	-36.996076	0.000000	0.000000	-0.000000	0.000000	-2.151660	0.564620	-0.030520	-0.007751	0.926084	0.391540	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236735.000000	1772918501.854453
-2457.585000	34745.085000	-14380.110000	-16564.725000	0.000000	0.000000	0.000000	0.000000	72.035599	-27.199316	105.563174	111.163157	0.000000	0.000000	-0.000000	0.000000	-2.151660	0.564620	-0.030520	-0.007751	0.926084	0.391540	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236736.000000	1772918501.854456
-2487.195000	34674.435000	-14431.185000	-16618.455000	0.000000	0.000000	0.000000	0.000000	130.567161	6.634259	177.054466	197.058265	0.000000	0.000000	-0.000000	0.000000	-2.151660	0.564620	-0.030520	-0.007751	0.926084	0.391540	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236737.000000	1772918501.860828
-2555.865000	34675.740000	-14537.295000	-16733.160000	0.000000	0.000000	0.000000	0.000000	119.720841	30.108669	154.731746	178.145818	0.000000	0.000000	-0.000000	0.000000	-2.151660	0.564620	-0.030520	-0.007751	0.926084	0.391540	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	138.827586	0.000000	-1.000000	-1.000000	236738.000000	1772918501.860830
