ch_0	ch_1	ch_2	ch_3	ch_4	ch_5	ch_6	ch_7	ch_8	ch_9	ch_10	ch_11	ch_12	ch_13	ch_14	ch_15	ch_16	ch_17	ch_18	ch_19	ch_20	ch_21	ch_22	ch_23	ch_24	ch_25	ch_26	timestamp	marker	ch_29	ch_30	ch_31	ch_32	ch_33	ch_34	ch_35	ch_36	ch_37	ch_38	MarkerColumn	GestureLabel	CueLabel	SampleNumber	CollectionDate
-67176.63	-54061.92	-103629.33	-18190.755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.062682945	-0.14086878	1.009335795	3.3266799999999996	0.65618	-0.56462	3226520.0	1776544843.045481	4.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67172.535	-54076.994999999995	-103616.81999999999	-18161.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.062682945	-0.14086878	1.009335795	3.3266799999999996	0.65618	-0.56462	3226521.0	1776544843.045486	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67120.73999999999	-54075.645	-103518.09	-18052.695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.062682945	-0.14086878	1.009335795	3.3266799999999996	0.65618	-0.56462	3226522.0	1776544843.049455	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67297.77	-54072.09	-103569.3	-18090.315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.062682945	-0.14086878	1.009335795	3.3266799999999996	0.65618	-0.56462	3226523.0	1776544843.049459	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67370.22	-54071.145	-103754.87999999999	-18303.975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.062682945	-0.14086878	1.009335795	3.3266799999999996	0.65618	-0.56462	3226524.0	1776544843.052287	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67272.61499999999	-54072.27	-103718.925	-18272.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.062682945	-0.14086878	1.009335795	3.3266799999999996	0.65618	-0.56462	3226525.0	1776544843.052291	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67216.275	-54088.74	-103741.2	-18281.655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.062682945	-0.14086878	1.009335795	3.3266799999999996	0.65618	-0.56462	3226526.0	1776544843.05621	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67204.98	-54096.975	-103710.915	-18238.905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.062682945	-0.14086878	1.009335795	3.3266799999999996	0.65618	-0.56462	3226527.0	1776544843.056214	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67177.08	-54093.915	-103605.25499999999	-18177.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.05664048	-0.138976695	1.008725445	2.22796	0.33571999999999996	-1.17502	3226528.0	1776544843.060273	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67083.3	-54085.994999999995	-103482.405	-18144.989999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.05664048	-0.138976695	1.008725445	2.22796	0.33571999999999996	-1.17502	3226529.0	1776544843.060277	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67006.44	-54074.655	-103423.59	-18095.445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.05664048	-0.138976695	1.008725445	2.22796	0.33571999999999996	-1.17502	3226530.0	1776544843.064273	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67003.02	-54071.415	-103449.825	-18015.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.05664048	-0.138976695	1.008725445	2.22796	0.33571999999999996	-1.17502	3226531.0	1776544843.064277	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67184.19	-54069.57	-103618.485	-18038.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.05664048	-0.138976695	1.008725445	2.22796	0.33571999999999996	-1.17502	3226532.0	1776544843.068487	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67332.645	-54067.68	-103779.855	-18191.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.05664048	-0.138976695	1.008725445	2.22796	0.33571999999999996	-1.17502	3226533.0	1776544843.068492	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67265.37	-54053.505	-103663.935	-18185.715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.05664048	-0.138976695	1.008725445	2.22796	0.33571999999999996	-1.17502	3226534.0	1776544843.072268	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67086.36	-54046.17	-103431.23999999999	-18002.835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.05664048	-0.138976695	1.008725445	2.22796	0.33571999999999996	-1.17502	3226535.0	1776544843.072274	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67160.025	-54063.63	-103546.75499999999	-18055.215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.05664048	-0.138976695	1.008725445	2.22796	0.33571999999999996	-1.17502	3226536.0	1776544843.076323	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67231.98	-54083.835	-103700.295	-18177.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.05664048	-0.138976695	1.008725445	2.22796	0.33571999999999996	-1.17502	3226537.0	1776544843.076328	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67065.93	-54094.005	-103531.00499999999	-18075.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.054870465	-0.13452114	1.01354721	3.00622	-0.15259999999999999	0.32045999999999997	3226538.0	1776544843.082084	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67194.45	-54096.975	-103588.875	-18112.995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.054870465	-0.13452114	1.01354721	3.00622	-0.15259999999999999	0.32045999999999997	3226539.0	1776544843.082091	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67270.77	-54091.034999999996	-103661.235	-18216.675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.054870465	-0.13452114	1.01354721	3.00622	-0.15259999999999999	0.32045999999999997	3226540.0	1776544843.085768	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67216.905	-54079.515	-103562.14499999999	-18147.915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.054870465	-0.13452114	1.01354721	3.00622	-0.15259999999999999	0.32045999999999997	3226541.0	1776544843.085773	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67130.81999999999	-54068.67	-103490.73	-18040.094999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.054870465	-0.13452114	1.01354721	3.00622	-0.15259999999999999	0.32045999999999997	3226542.0	1776544843.0886	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67058.505	-54065.115	-103492.03499999999	-17990.774999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.054870465	-0.13452114	1.01354721	3.00622	-0.15259999999999999	0.32045999999999997	3226543.0	1776544843.088604	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67086.94499999999	-54060.03	-103469.53499999999	-17991.945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.054870465	-0.13452114	1.01354721	3.00622	-0.15259999999999999	0.32045999999999997	3226544.0	1776544843.094698	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67212.045	-54049.185	-103533.12	-18034.785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.054870465	-0.13452114	1.01354721	3.00622	-0.15259999999999999	0.32045999999999997	3226545.0	1776544843.094702	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67176.22499999999	-54038.115	-103494.42	-18085.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.054870465	-0.13452114	1.01354721	3.00622	-0.15259999999999999	0.32045999999999997	3226546.0	1776544843.097788	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67150.89	-54039.375	-103530.915	-18124.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.054870465	-0.13452114	1.01354721	3.00622	-0.15259999999999999	0.32045999999999997	3226547.0	1776544843.097792	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67182.93	-54049.725	-103640.355	-18166.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.056091165	-0.134338035	1.01281479	3.93708	0.04578	0.16785999999999998	3226548.0	1776544843.100429	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
-67261.41	-54059.085	-103679.685	-18172.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.13793103448276	0.0	0.056091165	-0.134338035	1.01281479	3.93708	0.04578	0.16785999999999998	3226549.0	1776544843.100433	0.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	marker	spider-man	Spiderman	15	0418
