FilteredChannel1,FilteredChannel2,FilteredChannel3,FilteredChannel4
0.556545,1.530210,2.338020,2.157916
0.707408,0.228261,0.216298,0.996851
0.214673,1.167323,1.092094,0.278421
-1.799669,-3.318603,-4.894310,-1.495023
2.252059,3.198578,4.902383,1.479591
0.132830,0.489235,0.345356,0.589786
-2.888240,-6.176912,-5.128472,-4.786520
-2.887856,0.829780,-0.372314,-1.144978
3.297375,1.666749,1.476176,2.042029
2.164778,2.515827,2.090567,1.574189
-0.449536,-0.040238,0.388212,0.674539
-0.404472,-0.592985,0.318296,-0.022866
-0.105729,-0.214456,-1.040771,-0.842187
-0.200688,-0.073969,0.686075,0.763479
0.544112,0.550867,-0.422803,-0.164463
-1.100309,-1.105345,-0.858397,-1.158371
1.560233,1.793152,2.406201,2.236866
-2.203334,-3.009365,-3.511352,-3.458470
-0.179124,0.172356,-0.195771,0.811508
0.791144,1.001868,1.319034,0.658666
-0.152987,0.037190,-0.251331,0.263663
1.099706,0.901902,2.357701,1.988442
-0.294122,0.060928,-1.257865,-1.692016
-0.014816,-0.379547,-0.547378,-0.491387
-1.325867,-1.336889,-1.217583,-0.803312
0.296299,0.229922,0.173057,-0.201600
0.381568,0.362409,0.695536,1.167237
2.089161,2.512447,2.660816,2.167793
-4.001784,-3.917003,-4.314513,-4.150693
1.649096,1.322818,1.117392,1.305083
0.921985,1.280549,0.572221,0.753036
0.396202,0.253782,1.804623,1.639783
0.121257,0.209481,-0.170713,-0.499863
-0.651489,-0.709586,-0.923447,-0.855917
1.113449,0.683240,1.090067,1.105036
-1.289411,-1.146384,-2.106494,-2.087704
0.554658,0.776129,1.250297,1.483421
0.970638,1.015800,1.339036,0.781867
0.332125,0.376458,0.252778,0.628366
-1.574135,-1.953239,-2.509246,-2.278477
0.613835,0.461566,1.034821,0.869120
-0.534264,-0.286342,-0.432177,-0.337080
-0.024108,0.079317,0.367286,0.359675
0.167362,0.072129,-0.394870,-0.461182
1.151737,0.998000,0.855784,0.642620
-0.301897,-0.245648,0.301590,-0.014190
-1.035061,-0.882372,-1.446467,-1.077918
0.250336,0.135460,0.161056,0.339626
-0.292293,-0.187016,-0.660987,0.118815
-0.018164,0.108187,1.122318,0.325953
0.037288,-0.237744,-0.658872,-0.631332
1.431594,1.749965,2.257132,1.868407
-0.919339,-1.248067,-1.688384,-1.352438
-0.823562,-0.683209,-0.236118,-0.783681
0.992813,1.237275,1.125199,1.542658
-1.368361,-1.336711,-2.036295,-1.918128
-0.459926,-0.906294,-0.330201,-0.288426
1.394828,1.543567,1.493464,1.363993
-0.276272,-0.199756,-0.425992,-0.181037
0.026463,-0.044588,0.344883,0.191872
-0.541943,-0.342283,-0.413525,-0.561424
1.287396,1.345682,1.460581,1.444920
-0.747565,-1.031938,-1.314442,-1.116873
0.367192,0.410464,0.720328,0.581367
-0.731790,-0.812132,-1.129442,-1.217939
0.146513,0.157001,0.187584,0.060439
0.107444,0.375771,0.464133,1.011393
-0.300721,-0.415131,-0.590156,-0.905544
-0.060198,0.029357,0.555904,0.384701
-0.430885,-0.827273,-0.537254,-0.272788
2.204403,2.191689,1.498674,1.135008
-1.086674,-0.686411,-0.590924,-0.373110
-0.842843,-1.096716,-0.794322,-1.079963
1.426431,1.591566,0.871052,1.572201
-0.686374,-0.986875,-1.308266,-1.482347
-1.116459,-0.929382,-0.279215,-0.664462
1.400785,1.359555,1.262981,1.892123
-0.682556,-0.526812,-0.315701,-0.682891
0.259420,0.084703,0.094067,0.088442
0.252418,0.485715,0.362668,0.349450
-0.324775,-0.744942,-0.198903,-0.304727
0.476670,0.758815,0.540430,0.639393
-0.539941,-0.666102,-0.917268,-1.027757
-0.089642,0.074368,0.253744,0.158366
-0.268280,-0.432767,-0.576921,-0.220622
0.838008,1.040863,0.959672,0.580887
-0.593723,-0.724604,-0.531260,-0.596657
-0.527209,-0.623978,-0.604591,-0.238424
0.184177,0.228973,-0.598698,-0.964925
0.809702,0.878194,1.472284,2.120080
0.365405,0.016426,-0.514773,-0.440403
-2.344673,-2.191792,-1.531178,-2.157906
2.787347,2.702827,2.357713,2.810345
-0.203916,0.262448,0.744443,0.136142
-0.521481,-0.703083,-0.927121,-0.760264
-0.584097,-0.545667,-0.366948,-0.336133
0.217390,0.499484,0.530434,0.718651
0.089920,-0.056486,-0.631563,-0.718414
0.374066,0.187690,0.347904,0.390303
-0.741618,-0.888412,-0.874383,-0.830103
1.095459,1.354393,1.689926,1.516928
0.111203,0.045133,-0.095606,-0.209324
-0.512803,-0.460710,-0.358322,-0.138430
-0.972080,-0.828884,-1.022079,-1.076530
1.539149,1.430240,1.500643,1.665705
-1.258693,-1.461439,-1.589071,-1.493911
-0.241336,-0.240589,-0.003004,-0.256140
0.433127,0.388440,0.146628,0.298799
0.957406,1.004333,0.790369,0.725056
-0.978148,-0.857289,-1.262903,-0.983198
0.110003,-0.010957,0.816473,0.419326
0.417123,0.568150,0.641975,0.518659
-1.093232,-1.157321,-0.915389,-0.879772
0.371068,0.493690,0.064788,0.083237
0.911067,0.616359,0.688197,0.791146
-1.170387,-1.268773,-1.505558,-1.612253
0.814159,1.113503,1.114050,1.203585
-0.734068,-1.112751,-1.611996,-1.259149
0.314718,0.791204,1.550363,1.230045
0.362891,0.261748,0.338476,0.228198
-0.676743,-0.876468,-1.133826,-1.006700
0.333621,0.559974,0.879502,0.913870
0.481729,0.541914,0.614676,0.640772
1.076343,0.761631,0.193951,0.167039
-0.713384,-0.148214,0.226609,0.259140
-0.987764,-1.361312,-1.471082,-1.499254
0.291794,0.301332,0.574084,0.392775
-0.642908,-0.657521,-0.888055,-0.396710
0.611687,0.643067,0.514108,0.146533
0.368335,0.270967,0.293686,0.442415
-0.234742,-0.154983,-0.115433,0.025091
0.433440,1.024224,1.644732,1.010864
-0.204089,-0.879003,-1.717311,-0.901270
-0.632931,-0.569088,-0.004379,-0.304205
0.550978,0.379642,0.120797,-0.401835
-0.367694,-0.154724,-0.429635,-0.122310
0.617521,0.784229,0.824549,0.848945
-0.705570,-0.919541,-0.988613,-0.675597
0.226331,0.296472,0.929736,0.416364
-0.618494,-0.735180,-1.037175,-0.853999
0.735691,0.682148,0.673554,0.875971
-0.861393,-0.908752,-0.674369,-1.223455
0.525107,0.753754,1.015014,1.318476
0.257348,0.246026,-0.454662,-0.417739
0.225595,0.149485,0.260160,0.308982
