CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
-42265.8,33130.08,-34061.58,-21086.055,0.0,0.0,0.0,0.0,1
-42273.495,33129.585,-34056.9,-21087.045,0.0,0.0,0.0,0.0,1
-42301.53,33133.545,-34069.995,-21075.93,0.0,0.0,0.0,0.0,1
-42314.67,33137.01,-34081.56,-21082.5,0.0,0.0,0.0,0.0,1
-42298.155,33132.825,-34096.77,-21089.565,0.0,0.0,0.0,0.0,1
-42301.305,33128.505,-34094.565,-21088.98,0.0,0.0,0.0,0.0,1
-42322.32,33132.15,-34098.48,-21087.675,0.0,0.0,0.0,0.0,1
-42349.095,33125.625,-34105.59,-21089.43,0.0,0.0,0.0,0.0,1
-42354.54,33122.475,-34102.17,-21084.39,0.0,0.0,0.0,0.0,1
-42328.98,33125.31,-34116.66,-21091.455,0.0,0.0,0.0,0.0,1
-42296.895,33131.295,-34095.735,-21085.605,0.0,0.0,0.0,0.0,1
-42307.2,33132.465,-34091.595,-21082.77,0.0,0.0,0.0,0.0,1
-42302.43,33135.3,-34070.535,-21058.515,0.0,0.0,0.0,0.0,1
-42316.92,33134.895,-34052.355,-21029.445,0.0,0.0,0.0,0.0,1
-42356.43,33137.1,-34092.99,-21057.3,0.0,0.0,0.0,0.0,1
-42350.715,33139.17,-34100.37,-21098.07,0.0,0.0,0.0,0.0,1
-42376.995,33140.745,-34080.525,-21079.53,0.0,0.0,0.0,0.0,1
-42353.775,33135.66,-34071.21,-21066.66,0.0,0.0,0.0,0.0,1
-42283.305,33135.03,-34070.49,-21072.51,0.0,0.0,0.0,0.0,1
-42261.48,33135.885,-34102.665,-21099.51,0.0,0.0,0.0,0.0,1
-42289.065,33135.705,-34109.145,-21102.885,0.0,0.0,0.0,0.0,1
-42300.99,33135.03,-34110.945,-21103.29,0.0,0.0,0.0,0.0,1
-42309.81,33136.695,-34125.48,-21107.385,0.0,0.0,0.0,0.0,1
-42344.73,33133.005,-34127.82,-21098.61,0.0,0.0,0.0,0.0,1
-42384.33,33130.26,-34133.58,-21096.72,0.0,0.0,0.0,0.0,1
-42324.975,33131.43,-34111.035,-21098.79,0.0,0.0,0.0,0.0,1
-42291.765,33132.96,-34082.19,-21087.765,0.0,0.0,0.0,0.0,1
-42302.07,33127.92,-34098.57,-21091.005,0.0,0.0,0.0,0.0,1
-42322.005,33127.83,-34118.055,-21090.33,0.0,0.0,0.0,0.0,1
-42326.595,33127.875,-34113.78,-21080.835,0.0,0.0,0.0,0.0,1
-42267.015,33133.14,-34060.815,-21057.075,0.0,0.0,0.0,0.0,1
-42309.63,33133.68,-34046.73,-21055.455,0.0,0.0,0.0,0.0,1
-42375.33,33131.07,-34077.195,-21069.945,0.0,0.0,0.0,0.0,1
-42350.355,33130.395,-34076.79,-21069.315,0.0,0.0,0.0,0.0,1
-42309.585,33133.77,-34085.565,-21081.015,0.0,0.0,0.0,0.0,1
-42282.765,33135.795,-34100.865,-21095.73,0.0,0.0,0.0,0.0,1
-42322.68,33135.66,-34124.265,-21106.575,0.0,0.0,0.0,0.0,1
-42351.255,33130.215,-34121.34,-21097.71,0.0,0.0,0.0,0.0,1
-42320.52,33128.01,-34103.88,-21084.885,0.0,0.0,0.0,0.0,1
-42311.565,33126.435,-34099.875,-21077.28,0.0,0.0,0.0,0.0,1
-42339.33,33122.385,-34150.23,-21099.555,0.0,0.0,0.0,0.0,1
-42359.04,33120.81,-34171.02,-21118.32,0.0,0.0,0.0,0.0,1
-42381.315,33119.01,-34128.045,-21102.03,0.0,0.0,0.0,0.0,1
-42362.19,33119.73,-34061.49,-21060.18,0.0,0.0,0.0,0.0,1
-42259.725,33121.71,-34042.41,-21051.315,0.0,0.0,0.0,0.0,1
-42282.0,33116.445,-34079.22,-21082.455,0.0,0.0,0.0,0.0,1
-42316.74,33115.32,-34101.405,-21091.185,0.0,0.0,0.0,0.0,1
-42305.445,33108.705,-34108.425,-21094.02,0.0,0.0,0.0,0.0,1
-42302.475,33104.61,-34106.67,-21094.515,0.0,0.0,0.0,0.0,1
-42304.725,33105.555,-34094.43,-21082.005,0.0,0.0,0.0,0.0,1
-42314.76,33101.955,-34101.045,-21093.48,0.0,0.0,0.0,0.0,1
