CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
14844.195,10405.71,9532.395,3001.5899999999997,0.0,0.0,0.0,0.0,8
8221.41,18487.035,2769.66,-3642.39,0.0,0.0,0.0,0.0,8
8589.645,20391.21,2862.54,-3953.34,0.0,0.0,0.0,0.0,8
14387.445,15371.505,8711.324999999999,1868.175,0.0,0.0,0.0,0.0,8
21724.785,6164.6849999999995,16020.45,8733.105,0.0,0.0,0.0,0.0,8
20186.595,-2686.815,16758.899999999998,11860.47,0.0,0.0,0.0,0.0,8
13018.455,-5744.429999999999,11680.965,9156.06,0.0,0.0,0.0,0.0,8
22058.235,-814.77,17155.17,10494.72,0.0,0.0,0.0,0.0,8
16630.38,8664.705,11010.645,4217.13,0.0,0.0,0.0,0.0,8
9235.575,17142.165,3555.81,-2959.785,0.0,0.0,0.0,0.0,8
7259.31,19228.635,1286.595,-5787.315,0.0,0.0,0.0,0.0,8
11739.915,18418.005,5776.2,-1136.2949999999998,0.0,0.0,0.0,0.0,8
18974.34,10241.01,12950.64,5682.78,0.0,0.0,0.0,0.0,8
23418.54,703.485,18499.905,11881.17,0.0,0.0,0.0,0.0,8
15047.955,-5543.28,13710.33,11039.04,0.0,0.0,0.0,0.0,8
21420.72,-2156.355,17126.01,11007.225,0.0,0.0,0.0,0.0,8
18504.945,6952.95,12597.525,5521.635,0.0,0.0,0.0,0.0,8
10932.75,15959.385,4990.905,-1670.8049999999998,0.0,0.0,0.0,0.0,8
6606.45,17515.485,411.66,-6734.115,0.0,0.0,0.0,0.0,8
9555.795,19331.415,3222.45,-3981.42,0.0,0.0,0.0,0.0,8
16333.11,14336.01,9990.135,2725.605,0.0,0.0,0.0,0.0,8
23145.795,4871.61,17186.445,9710.595,0.0,0.0,0.0,0.0,8
19143.63,-3174.39,16874.954999999998,12851.73,0.0,0.0,0.0,0.0,8
20373.345,-2721.06,17015.76,11737.035,0.0,0.0,0.0,0.0,8
20210.715,5344.38,14130.855,6806.205,0.0,0.0,0.0,0.0,8
12749.895,14731.29,6581.835,-255.78,0.0,0.0,0.0,0.0,8
6576.389999999999,17394.704999999998,265.86,-6045.795,0.0,0.0,0.0,0.0,8
7735.41,17801.1,1074.285,-5773.094999999999,0.0,0.0,0.0,0.0,8
13693.14,18208.98,7144.695,-115.515,0.0,0.0,0.0,0.0,8
21137.85,9156.96,14608.935,6913.44,0.0,0.0,0.0,0.0,8
22294.485,99.09,18441.99,12613.005,0.0,0.0,0.0,0.0,8
19299.645,-2491.02,16847.505,12450.735,0.0,0.0,0.0,0.0,8
21650.625,3855.51,15572.115,8139.06,0.0,0.0,0.0,0.0,8
14725.395,13293.18,8331.93,1250.235,0.0,0.0,0.0,0.0,8
7534.395,18932.985,1075.815,-5278.7699999999995,0.0,0.0,0.0,0.0,8
6391.9349999999995,16618.095,-448.155,-6604.65,0.0,0.0,0.0,0.0,8
11244.015,20941.02,4431.96,-2814.93,0.0,0.0,0.0,0.0,8
18506.34,13366.935,11710.395,4067.145,0.0,0.0,0.0,0.0,8
23476.004999999997,3886.83,18074.385,10886.445,0.0,0.0,0.0,0.0,8
19232.505,-1408.95,17259.975,12817.53,0.0,0.0,0.0,0.0,8
22388.129999999997,2647.665,16794.809999999998,9434.97,0.0,0.0,0.0,0.0,8
16713.899999999998,11723.085,10104.705,2795.31,0.0,0.0,0.0,0.0,8
9162.945,19746.81,2524.9049999999997,-4183.065,0.0,0.0,0.0,0.0,8
5377.86,16720.02,-1391.6699999999998,-6874.65,0.0,0.0,0.0,0.0,8
9011.07,21590.055,1964.7,-4999.365,0.0,0.0,0.0,0.0,8
15918.255,17563.545,8916.525,1374.48,0.0,0.0,0.0,0.0,8
22599.99,8029.17,16133.31,8432.82,0.0,0.0,0.0,0.0,8
18544.32,436.185,16168.905,11918.25,0.0,0.0,0.0,0.0,8
20593.755,1694.835,16305.345,10249.47,0.0,0.0,0.0,0.0,8
18802.08,9998.235,11971.125,4414.23,0.0,0.0,0.0,0.0,8
11324.61,19206.405,4399.155,-2669.4449999999997,0.0,0.0,0.0,0.0,8
5580.585,20097.63,-1449.495,-7976.79,0.0,0.0,0.0,0.0,8
7231.185,21236.31,-55.169999999999995,-7166.61,0.0,0.0,0.0,0.0,8
13452.885,21183.21,6260.04,-1257.345,0.0,0.0,0.0,0.0,8
20815.695,11942.505,13721.355,5782.905,0.0,0.0,0.0,0.0,8
20184.48,2974.635,16425.495,10912.365,0.0,0.0,0.0,0.0,8
18056.43,1182.465,15193.935,10426.23,0.0,0.0,0.0,0.0,8
20451.195,8047.799999999999,13700.385,6002.099999999999,0.0,0.0,0.0,0.0,8
13413.015,17472.195,6359.67,-923.265,0.0,0.0,0.0,0.0,8
6432.21,22653.675,-699.255,-7734.735,0.0,0.0,0.0,0.0,8
5882.175,21115.845,-1558.53,-9121.455,0.0,0.0,0.0,0.0,8
11090.43,23924.16,3687.12,-3880.8,0.0,0.0,0.0,0.0,8
18493.515,15657.93,11066.175,3135.24,0.0,0.0,0.0,0.0,8
21222.27,6098.219999999999,15890.895,9222.84,0.0,0.0,0.0,0.0,8
14291.46,1290.375,12535.92,9187.74,0.0,0.0,0.0,0.0,8
20594.655,6056.82,14531.175,7233.795,0.0,0.0,0.0,0.0,8
15577.785,15257.97,8337.6,831.06,0.0,0.0,0.0,0.0,8
8121.014999999999,23655.825,860.0849999999999,-6300.855,0.0,0.0,0.0,0.0,8
5076.179999999999,24226.695,-2463.48,-10162.44,0.0,0.0,0.0,0.0,8
8965.484999999999,25924.185,1367.595,-6243.84,0.0,0.0,0.0,0.0,8
16140.78,19129.5,8489.61,612.3149999999999,0.0,0.0,0.0,0.0,8
21390.12,9481.77,14702.355,7189.5599999999995,0.0,0.0,0.0,0.0,8
11277.36,2161.035,9425.835,6551.594999999999,0.0,0.0,0.0,0.0,8
17013.42,4179.96,12625.29,6906.42,0.0,0.0,0.0,0.0,8
17789.985,12790.71,10415.97,2638.44,0.0,0.0,0.0,0.0,8
10351.575,22171.635,2891.52,-4413.78,0.0,0.0,0.0,0.0,8
4824.99,28489.815,-2647.485,-9989.55,0.0,0.0,0.0,0.0,8
6979.905,28844.145,-644.265,-8194.59,0.0,0.0,0.0,0.0,8
13813.02,22340.385,6037.469999999999,-1768.95,0.0,0.0,0.0,0.0,8
20382.615,12785.04,12938.13,4974.3,0.0,0.0,0.0,0.0,8
11266.785,3272.94,8287.785,4735.17,0.0,0.0,0.0,0.0,8
9041.985,2027.025,6792.12,3737.835,0.0,0.0,0.0,0.0,8
18792.405,9880.38,11755.62,4156.425,0.0,0.0,0.0,0.0,8
12792.735,19417.23,5144.849999999999,-2382.93,0.0,0.0,0.0,0.0,8
5948.054999999999,27956.835,-1684.53,-8839.574999999999,0.0,0.0,0.0,0.0,8
5735.295,30257.28,-2041.875,-9295.155,0.0,0.0,0.0,0.0,8
11660.715,25035.75,3706.245,-4023.9,0.0,0.0,0.0,0.0,8
18922.86,15752.34,11011.725,2831.9849999999997,0.0,0.0,0.0,0.0,8
14773.995,5539.679999999999,10217.565,5115.554999999999,0.0,0.0,0.0,0.0,8
3894.66,815.895,2970.45,1662.885,0.0,0.0,0.0,0.0,8
16280.595,6529.41,10720.125,4392.224999999999,0.0,0.0,0.0,0.0,8
15236.46,16158.33,7458.344999999999,-326.295,0.0,0.0,0.0,0.0,8
7847.73,25432.155,34.56,-7308.045,0.0,0.0,0.0,0.0,8
5078.115,30602.205,-2796.5699999999997,-10062.765,0.0,0.0,0.0,0.0,8
9650.52,27216.135,1573.155,-6087.33,0.0,0.0,0.0,0.0,8
16992.54,18424.08,8818.47,621.9,0.0,0.0,0.0,0.0,8
17863.605,8283.465,11748.465,5193.179999999999,0.0,0.0,0.0,0.0,8
3611.655,859.05,2655.63,1472.13,0.0,0.0,0.0,0.0,8
11731.86,3096.765,7991.91,3580.2,0.0,0.0,0.0,0.0,8
17380.98,11951.325,9601.29,1646.685,0.0,0.0,0.0,0.0,8
10336.32,21381.21,2329.56,-5282.865,0.0,0.0,0.0,0.0,8
5358.105,28553.085,-2686.365,-10069.92,0.0,0.0,0.0,0.0,8
8044.695,27761.085,-169.965,-7823.655,0.0,0.0,0.0,0.0,8
14969.7,20024.595,6630.3,-1547.775,0.0,0.0,0.0,0.0,8
19709.775,10378.035,12253.005,4478.804999999999,0.0,0.0,0.0,0.0,8
6685.0199999999995,1780.56,4670.775,2382.255,0.0,0.0,0.0,0.0,8
6860.16,827.235,4855.95,2362.77,0.0,0.0,0.0,0.0,8
18227.79,7443.09,10904.49,3248.37,0.0,0.0,0.0,0.0,8
12993.3,16875.36,4805.46,-3057.255,0.0,0.0,0.0,0.0,8
6464.295,25333.245,-1734.57,-9245.295,0.0,0.0,0.0,0.0,8
6859.9349999999995,27232.245,-1471.365,-9110.52,0.0,0.0,0.0,0.0,8
12992.895,21123.225,4508.054999999999,-3610.08,0.0,0.0,0.0,0.0,8
19686.105,11820.825,11425.995,3038.625,0.0,0.0,0.0,0.0,8
11766.51,2961.27,7941.69,3778.11,0.0,0.0,0.0,0.0,8
3399.705,-19.62,2502.81,1311.615,0.0,0.0,0.0,0.0,8
16827.3,3398.4449999999997,10689.795,4055.85,0.0,0.0,0.0,0.0,8
15578.145,12333.87,7244.639999999999,-828.855,0.0,0.0,0.0,0.0,8
8297.595,21463.515,-49.77,-7692.525,0.0,0.0,0.0,0.0,8
6163.83,25978.725,-2257.74,-9867.735,0.0,0.0,0.0,0.0,8
11026.305,22065.66,2431.44,-5581.349999999999,0.0,0.0,0.0,0.0,8
18239.985,13258.44,9588.645,1070.37,0.0,0.0,0.0,0.0,8
16752.195,4265.1449999999995,10888.335,4723.695,0.0,0.0,0.0,0.0,8
2898.135,34.65,2116.125,1138.59,0.0,0.0,0.0,0.0,8
13007.115,827.73,8619.255,3682.395,0.0,0.0,0.0,0.0,8
17712.225,8336.205,9362.115,1136.16,0.0,0.0,0.0,0.0,8
10563.435,17681.76,2025.045,-5822.639999999999,0.0,0.0,0.0,0.0,8
6053.58,24373.62,-2482.92,-10126.665,0.0,0.0,0.0,0.0,8
9176.445,22978.62,474.255,-7468.92,0.0,0.0,0.0,0.0,8
