CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
-99771.03,-54187.2,-99838.98,-768.6,0.0,0.0,0.0,0.0,3
-99785.97,-54187.92,-99828.855,-753.3,0.0,0.0,0.0,0.0,3
-99799.335,-54188.415,-99837.72,-760.995,0.0,0.0,0.0,0.0,3
-99798.885,-54189.045,-99851.49,-773.64,0.0,0.0,0.0,0.0,3
-99792.765,-54187.2,-99858.24,-780.57,0.0,0.0,0.0,0.0,3
-99788.49,-54184.14,-99850.365,-778.005,0.0,0.0,0.0,0.0,3
-99796.545,-54179.37,-99843.3,-770.04,0.0,0.0,0.0,0.0,3
-99810.765,-54178.875,-99841.5,-750.195,0.0,0.0,0.0,0.0,3
-99788.58,-54177.57,-99854.865,-771.03,0.0,0.0,0.0,0.0,3
-99765.72,-54177.795,-99857.025,-796.77,0.0,0.0,0.0,0.0,3
-99768.33,-54176.895,-99841.545,-780.57,0.0,0.0,0.0,0.0,3
-99775.485,-54178.2,-99846.27,-777.915,0.0,0.0,0.0,0.0,3
-99785.115,-54179.91,-99850.905,-778.455,0.0,0.0,0.0,0.0,3
-99823.005,-54181.62,-99867.555,-775.305,0.0,0.0,0.0,0.0,3
-99852.75,-54182.7,-99886.545,-779.22,0.0,0.0,0.0,0.0,3
-99878.535,-54179.055,-99914.67,-789.525,0.0,0.0,0.0,0.0,3
-99845.415,-54173.565,-99875.655,-784.395,0.0,0.0,0.0,0.0,3
-99780.39,-54173.34,-99837.27,-775.845,0.0,0.0,0.0,0.0,3
-99742.815,-54173.79,-99828.27,-772.56,0.0,0.0,0.0,0.0,3
-99711.99,-54174.375,-99811.755,-770.13,0.0,0.0,0.0,0.0,3
-99751.815,-54176.22,-99840.24,-772.605,0.0,0.0,0.0,0.0,3
-99790.785,-54178.335,-99853.065,-769.905,0.0,0.0,0.0,0.0,3
-99832.815,-54179.865,-99870.345,-771.57,0.0,0.0,0.0,0.0,3
-99869.715,-54183.375,-99879.57,-766.26,0.0,0.0,0.0,0.0,3
-99865.53,-54186.39,-99877.59,-769.77,0.0,0.0,0.0,0.0,3
-99821.43,-54179.46,-99858.69,-771.03,0.0,0.0,0.0,0.0,3
-99750.33,-54171.945,-99815.13,-761.67,0.0,0.0,0.0,0.0,3
-99703.71,-54175.14,-99818.64,-772.155,0.0,0.0,0.0,0.0,3
-99724.95,-54180.855,-99837.45,-777.465,0.0,0.0,0.0,0.0,3
-99755.73,-54186.75,-99840.285,-768.87,0.0,0.0,0.0,0.0,3
-99771.795,-54188.955,-99846.945,-767.925,0.0,0.0,0.0,0.0,3
-99775.755,-54190.395,-99850.815,-771.84,0.0,0.0,0.0,0.0,3
-99779.445,-54190.035,-99849.105,-771.165,0.0,0.0,0.0,0.0,3
-99799.695,-54191.52,-99860.13,-772.83,0.0,0.0,0.0,0.0,3
-99818.82,-54195.48,-99856.08,-762.75,0.0,0.0,0.0,0.0,3
-99837.72,-54194.76,-99854.46,-759.375,0.0,0.0,0.0,0.0,3
-99842.895,-54195.39,-99865.62,-766.89,0.0,0.0,0.0,0.0,3
-99809.91,-54195.66,-99860.4,-767.7,0.0,0.0,0.0,0.0,3
-99759.87,-54197.415,-99841.14,-756.54,0.0,0.0,0.0,0.0,3
-99754.695,-54201.87,-99818.055,-724.095,0.0,0.0,0.0,0.0,3
-99756.0,-54203.355,-99855.405,-780.435,0.0,0.0,0.0,0.0,3
-99741.645,-54204.93,-99838.845,-784.845,0.0,0.0,0.0,0.0,3
-99760.32,-54208.215,-99853.83,-787.14,0.0,0.0,0.0,0.0,3
-99771.3,-54212.31,-99859.455,-782.325,0.0,0.0,0.0,0.0,3
-99780.255,-54214.425,-99858.87,-775.665,0.0,0.0,0.0,0.0,3
-99797.535,-54209.16,-99869.265,-776.34,0.0,0.0,0.0,0.0,3
-99813.33,-54207.315,-99873.045,-775.665,0.0,0.0,0.0,0.0,3
-99819.09,-54208.89,-99871.515,-773.685,0.0,0.0,0.0,0.0,3
-99814.05,-54207.765,-99870.75,-771.03,0.0,0.0,0.0,0.0,3
-99809.82,-54207.045,-99858.105,-761.13,0.0,0.0,0.0,0.0,3
-99784.62,-54206.91,-99830.475,-745.425,0.0,0.0,0.0,0.0,3
-99757.53,-54208.08,-99829.8,-756.63,0.0,0.0,0.0,0.0,3
-99773.415,-54210.42,-99851.895,-776.025,0.0,0.0,0.0,0.0,3
-99785.115,-54212.985,-99842.67,-764.64,0.0,0.0,0.0,0.0,3
-99770.355,-54209.43,-99830.34,-750.15,0.0,0.0,0.0,0.0,3
-99778.365,-54201.69,-99841.23,-747.09,0.0,0.0,0.0,0.0,3
-99777.465,-54198.54,-99851.49,-763.785,0.0,0.0,0.0,0.0,3
-99776.52,-54201.735,-99862.74,-783.315,0.0,0.0,0.0,0.0,3
-99778.185,-54205.515,-99850.995,-767.88,0.0,0.0,0.0,0.0,3
-99782.775,-54208.53,-99844.02,-758.655,0.0,0.0,0.0,0.0,3
-99782.73,-54209.745,-99848.295,-760.905,0.0,0.0,0.0,0.0,3
-99785.34,-54211.275,-99843.93,-752.13,0.0,0.0,0.0,0.0,3
-99794.205,-54212.49,-99844.155,-742.14,0.0,0.0,0.0,0.0,3
-99803.565,-54215.775,-99871.605,-774.855,0.0,0.0,0.0,0.0,3
-99787.725,-54218.43,-99864.045,-772.965,0.0,0.0,0.0,0.0,3
-99760.815,-54208.89,-99833.04,-753.84,0.0,0.0,0.0,0.0,3
-99778.635,-54205.065,-99845.235,-760.14,0.0,0.0,0.0,0.0,3
-99787.545,-54207.09,-99841.455,-750.915,0.0,0.0,0.0,0.0,3
-99787.77,-54210.285,-99855.495,-764.91,0.0,0.0,0.0,0.0,3
-99773.19,-54219.105,-99854.82,-768.06,0.0,0.0,0.0,0.0,3
-99789.705,-54222.93,-99859.41,-769.455,0.0,0.0,0.0,0.0,3
-99799.38,-54224.73,-99855.765,-763.02,0.0,0.0,0.0,0.0,3
