CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
-6905.745,14442.795,-6429.96,-15651.495,0.0,0.0,0.0,0.0,2
-6908.31,14434.785,-6466.995,-15632.325,0.0,0.0,0.0,0.0,2
-6918.75,14446.845,-6423.255,-15651.675,0.0,0.0,0.0,0.0,2
-6900.21,14490.495,-6353.37,-15719.895,0.0,0.0,0.0,0.0,2
-6887.52,14495.49,-6335.55,-15719.805,0.0,0.0,0.0,0.0,2
-6881.265,14538.105,-6272.28,-15694.02,0.0,0.0,0.0,0.0,2
-6904.665,14557.545,-6205.41,-15628.005,0.0,0.0,0.0,0.0,2
-6910.515,14548.68,-6222.24,-15614.28,0.0,0.0,0.0,0.0,2
-6899.895,14534.595,-6267.465,-15636.015,0.0,0.0,0.0,0.0,2
-6898.59,14521.77,-6289.02,-15648.12,0.0,0.0,0.0,0.0,2
-6898.725,14526.09,-6275.115,-15634.53,0.0,0.0,0.0,0.0,2
-6895.44,14530.455,-6272.73,-15634.53,0.0,0.0,0.0,0.0,2
-6897.555,14527.17,-6282.855,-15645.645,0.0,0.0,0.0,0.0,2
-6895.215,14523.66,-6288.075,-15645.555,0.0,0.0,0.0,0.0,2
-6885.855,14531.67,-6279.12,-15629.535,0.0,0.0,0.0,0.0,2
-6889.05,14524.605,-6287.31,-15631.515,0.0,0.0,0.0,0.0,2
-6891.03,14522.175,-6289.695,-15632.415,0.0,0.0,0.0,0.0,2
-6886.305,14527.62,-6284.745,-15630.03,0.0,0.0,0.0,0.0,2
-6885.63,14520.96,-6290.595,-15635.475,0.0,0.0,0.0,0.0,2
-6888.33,14512.905,-6296.31,-15637.905,0.0,0.0,0.0,0.0,2
-6890.985,14512.41,-6300.36,-15636.33,0.0,0.0,0.0,0.0,2
-6889.23,14513.22,-6306.66,-15633.99,0.0,0.0,0.0,0.0,2
-6876.9,14517.495,-6310.215,-15647.175,0.0,0.0,0.0,0.0,2
-6882.57,14514.885,-6306.03,-15653.295,0.0,0.0,0.0,0.0,2
-6887.835,14520.15,-6286.86,-15640.155,0.0,0.0,0.0,0.0,2
-6886.845,14533.875,-6265.71,-15619.545,0.0,0.0,0.0,0.0,2
