CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
25626.285,30865.455,2877.435,-7868.655,0.0,0.0,0.0,0.0,7
23560.245,33447.78,566.865,-9970.785,0.0,0.0,0.0,0.0,7
20722.185,38040.66,-2589.615,-12875.445,0.0,0.0,0.0,0.0,7
18805.32,41797.619999999995,-4779.72,-14908.32,0.0,0.0,0.0,0.0,7
18672.345,42969.06,-4925.429999999999,-15069.825,0.0,0.0,0.0,0.0,7
20662.335,40618.125,-2761.785,-13097.7,0.0,0.0,0.0,0.0,7
23564.295,36058.275,427.68,-10160.595,0.0,0.0,0.0,0.0,7
25889.129999999997,31716.81,3031.56,-7741.62,0.0,0.0,0.0,0.0,7
26180.37,30110.22,3425.4449999999997,-7355.925,0.0,0.0,0.0,0.0,7
24644.655,31724.46,1704.06,-8912.475,0.0,0.0,0.0,0.0,7
21825.81,36082.485,-1429.11,-11791.62,0.0,0.0,0.0,0.0,7
19463.715,40469.445,-4121.19,-14288.985,0.0,0.0,0.0,0.0,7
18753.66,42515.01,-4919.8949999999995,-15047.28,0.0,0.0,0.0,0.0,7
20088.495,41313.51,-3421.17,-13675.995,0.0,0.0,0.0,0.0,7
22872.96,37248.48,-385.83,-10892.295,0.0,0.0,0.0,0.0,7
25582.725,32506.56,2582.325,-8142.165,0.0,0.0,0.0,0.0,7
26495.01,29947.59,3690.36,-7110.179999999999,0.0,0.0,0.0,0.0,7
25533.27,30545.685,2622.645,-8075.07,0.0,0.0,0.0,0.0,7
22909.275,34320.06,-264.555,-10711.305,0.0,0.0,0.0,0.0,7
20181.645,39080.655,-3299.04,-13512.195,0.0,0.0,0.0,0.0,7
18914.4,42005.61,-4738.95,-14864.265,0.0,0.0,0.0,0.0,7
19627.785,41909.76,-3962.52,-14173.155,0.0,0.0,0.0,0.0,7
22111.29,38571.255,-1253.565,-11684.43,0.0,0.0,0.0,0.0,7
24981.525,33805.575,1849.86,-8826.705,0.0,0.0,0.0,0.0,7
26547.705,30362.085,3656.34,-7149.195,0.0,0.0,0.0,0.0,7
