CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
-76130.28,-26739.72,-84331.215,11109.51,0.0,0.0,0.0,0.0,5
-76127.94,-26741.115,-84347.73,11090.52,0.0,0.0,0.0,0.0,5
-76126.95,-26732.205,-84338.865,11101.905,0.0,0.0,0.0,0.0,5
-76127.355,-26724.825,-84331.395,11113.155,0.0,0.0,0.0,0.0,5
-76126.725,-26725.68,-84334.5,11108.07,0.0,0.0,0.0,0.0,5
-76126.41,-26725.95,-84326.67,11115.765,0.0,0.0,0.0,0.0,5
-76123.845,-26728.83,-84331.305,11106.27,0.0,0.0,0.0,0.0,5
-76124.745,-26729.64,-84342.645,11097.81,0.0,0.0,0.0,0.0,5
-76117.95,-26730.9,-84325.905,11115.27,0.0,0.0,0.0,0.0,5
-76121.64,-26732.385,-84326.58,11115.36,0.0,0.0,0.0,0.0,5
-76128.165,-26734.095,-84334.635,11106.405,0.0,0.0,0.0,0.0,5
-76126.455,-26730.63,-84327.165,11117.97,0.0,0.0,0.0,0.0,5
-76130.64,-26724.555,-84337.065,11110.275,0.0,0.0,0.0,0.0,5
-76129.02,-26719.065,-84338.64,11106.99,0.0,0.0,0.0,0.0,5
-76129.245,-26719.47,-84339.675,11109.15,0.0,0.0,0.0,0.0,5
-76123.395,-26719.83,-84335.04,11107.395,0.0,0.0,0.0,0.0,5
-76119.435,-26718.885,-84329.415,11112.93,0.0,0.0,0.0,0.0,5
-76116.6,-26717.94,-84320.37,11122.785,0.0,0.0,0.0,0.0,5
-76123.98,-26722.755,-84337.155,11102.805,0.0,0.0,0.0,0.0,5
-76128.075,-26724.33,-84338.73,11108.115,0.0,0.0,0.0,0.0,5
-76125.915,-26726.265,-84339.0,11110.545,0.0,0.0,0.0,0.0,5
-76118.985,-26727.075,-84331.755,11112.885,0.0,0.0,0.0,0.0,5
-76116.69,-26725.14,-84322.8,11118.735,0.0,0.0,0.0,0.0,5
-76115.475,-26720.73,-84321.0,11117.655,0.0,0.0,0.0,0.0,5
-76117.095,-26720.505,-84319.02,11119.32,0.0,0.0,0.0,0.0,5
-76121.235,-26721.18,-84323.07,11118.735,0.0,0.0,0.0,0.0,5
-76122.63,-26724.78,-84324.375,11118.78,0.0,0.0,0.0,0.0,5
-76120.425,-26724.195,-84319.515,11119.545,0.0,0.0,0.0,0.0,5
-76118.67,-26726.895,-84318.165,11121.66,0.0,0.0,0.0,0.0,5
-76120.02,-26730.315,-84317.22,11126.925,0.0,0.0,0.0,0.0,5
-76119.39,-26733.87,-84317.58,11122.11,0.0,0.0,0.0,0.0,5
-76119.48,-26732.61,-84310.74,11135.385,0.0,0.0,0.0,0.0,5
-76117.995,-26728.29,-84311.37,11135.115,0.0,0.0,0.0,0.0,5
-76126.635,-26725.545,-84339.09,11108.79,0.0,0.0,0.0,0.0,5
-76128.345,-26727.39,-84340.08,11103.165,0.0,0.0,0.0,0.0,5
-76123.665,-26729.055,-84329.505,11111.13,0.0,0.0,0.0,0.0,5
-76121.91,-26732.745,-84326.49,11114.01,0.0,0.0,0.0,0.0,5
-76120.335,-26733.33,-84324.33,11118.51,0.0,0.0,0.0,0.0,5
-76118.265,-26733.015,-84318.345,11127.015,0.0,0.0,0.0,0.0,5
-76117.725,-26730.27,-84318.255,11126.43,0.0,0.0,0.0,0.0,5
-76118.265,-26731.305,-84325.815,11118.195,0.0,0.0,0.0,0.0,5
-76124.25,-26734.095,-84332.205,11111.895,0.0,0.0,0.0,0.0,5
-76127.94,-26733.69,-84321.855,11125.755,0.0,0.0,0.0,0.0,5
