CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
-14808.015,88381.62,-22296.42,-29677.095,0.0,0.0,0.0,0.0,4
-14806.395,88376.445,-22283.19,-29668.41,0.0,0.0,0.0,0.0,4
-14776.605,88377.705,-22224.15,-29652.12,0.0,0.0,0.0,0.0,4
-14754.24,88384.23,-22184.055,-29636.325,0.0,0.0,0.0,0.0,4
-14757.03,88385.985,-22217.895,-29647.755,0.0,0.0,0.0,0.0,4
-14772.69,88385.535,-22233.195,-29650.14,0.0,0.0,0.0,0.0,4
-14776.38,88385.715,-22244.265,-29654.955,0.0,0.0,0.0,0.0,4
-14787.54,88381.26,-22271.715,-29666.52,0.0,0.0,0.0,0.0,4
-14808.015,88381.755,-22290.21,-29675.925,0.0,0.0,0.0,0.0,4
-14798.295,88390.035,-22275.855,-29684.025,0.0,0.0,0.0,0.0,4
-14801.535,88389.72,-22280.445,-29701.485,0.0,0.0,0.0,0.0,4
-14812.965,88381.125,-22298.355,-29700.99,0.0,0.0,0.0,0.0,4
-14801.355,88377.795,-22269.42,-29683.08,0.0,0.0,0.0,0.0,4
-14756.265,88384.455,-22200.75,-29649.6,0.0,0.0,0.0,0.0,4
-14746.365,88386.84,-22221.765,-29664.0,0.0,0.0,0.0,0.0,4
-14757.84,88388.1,-22238.55,-29688.66,0.0,0.0,0.0,0.0,4
-14737.005,88392.465,-22206.69,-29670.12,0.0,0.0,0.0,0.0,4
-14749.74,88397.82,-22227.615,-29657.79,0.0,0.0,0.0,0.0,4
-14777.595,88400.025,-22264.2,-29679.975,0.0,0.0,0.0,0.0,4
-14771.475,88400.34,-22245.165,-29662.245,0.0,0.0,0.0,0.0,4
-14761.395,88395.795,-22230.99,-29665.98,0.0,0.0,0.0,0.0,4
-14765.58,88390.485,-22247.145,-29669.445,0.0,0.0,0.0,0.0,4
-14767.785,88389.81,-22238.64,-29663.28,0.0,0.0,0.0,0.0,4
-14770.53,88394.535,-22221.675,-29652.93,0.0,0.0,0.0,0.0,4
-14783.22,88396.65,-22251.195,-29674.26,0.0,0.0,0.0,0.0,4
-14794.605,88397.64,-22265.145,-29675.43,0.0,0.0,0.0,0.0,4
-14786.1,88399.62,-22250.34,-29668.995,0.0,0.0,0.0,0.0,4
-14777.415,88399.395,-22230.18,-29656.575,0.0,0.0,0.0,0.0,4
-14777.73,88400.205,-22230.54,-29643.93,0.0,0.0,0.0,0.0,4
-14779.215,88403.13,-22243.68,-29659.545,0.0,0.0,0.0,0.0,4
-14785.92,88401.87,-22249.53,-29660.715,0.0,0.0,0.0,0.0,4
-14786.595,88401.51,-22266.63,-29673.855,0.0,0.0,0.0,0.0,4
-14782.365,88399.53,-22270.815,-29682.945,0.0,0.0,0.0,0.0,4
-14775.48,88399.89,-22253.355,-29679.615,0.0,0.0,0.0,0.0,4
-14772.105,88401.87,-22242.555,-29672.145,0.0,0.0,0.0,0.0,4
-14778.315,88401.195,-22232.745,-29665.17,0.0,0.0,0.0,0.0,4
-14791.815,88399.395,-22255.695,-29674.035,0.0,0.0,0.0,0.0,4
-14807.16,88400.025,-22270.275,-29676.105,0.0,0.0,0.0,0.0,4
-14799.42,88399.98,-22266.9,-29679.345,0.0,0.0,0.0,0.0,4
-14779.62,88396.875,-22239.045,-29672.145,0.0,0.0,0.0,0.0,4
-14774.085,88391.97,-22233.825,-29669.22,0.0,0.0,0.0,0.0,4
-14783.67,88388.19,-22245.12,-29675.565,0.0,0.0,0.0,0.0,4
-14788.44,88386.12,-22251.195,-29674.755,0.0,0.0,0.0,0.0,4
-14771.565,88383.735,-22247.28,-29675.655,0.0,0.0,0.0,0.0,4
-14763.555,88383.015,-22247.64,-29680.65,0.0,0.0,0.0,0.0,4
-14759.37,88384.95,-22231.755,-29669.085,0.0,0.0,0.0,0.0,4
-14737.59,88387.425,-22209.075,-29655.045,0.0,0.0,0.0,0.0,4
-14744.7,88386.705,-22218.165,-29655.63,0.0,0.0,0.0,0.0,4
-14749.155,88390.755,-22225.365,-29661.21,0.0,0.0,0.0,0.0,4
-14769.315,88396.47,-22242.51,-29672.955,0.0,0.0,0.0,0.0,4
-14787.945,88397.55,-22255.74,-29676.24,0.0,0.0,0.0,0.0,4
-14796.495,88392.33,-22269.96,-29689.245,0.0,0.0,0.0,0.0,4
-14789.88,88388.91,-22267.665,-29692.17,0.0,0.0,0.0,0.0,4
-14793.345,88388.505,-22266.72,-29683.215,0.0,0.0,0.0,0.0,4
-14780.16,88388.145,-22247.865,-29674.215,0.0,0.0,0.0,0.0,4
-14779.44,88389.0,-22257.405,-29686.59,0.0,0.0,0.0,0.0,4
-14777.37,88389.495,-22253.67,-29687.715,0.0,0.0,0.0,0.0,4
-14789.43,88392.915,-22255.695,-29682.27,0.0,0.0,0.0,0.0,4
-14781.78,88400.205,-22247.01,-29677.23,0.0,0.0,0.0,0.0,4
-14759.865,88398.225,-22238.595,-29675.205,0.0,0.0,0.0,0.0,4
-14749.65,88392.105,-22236.165,-29673.27,0.0,0.0,0.0,0.0,4
-14751.72,88387.83,-22235.49,-29671.785,0.0,0.0,0.0,0.0,4
-14756.625,88387.65,-22242.24,-29679.435,0.0,0.0,0.0,0.0,4
-14765.04,88390.44,-22246.065,-29678.58,0.0,0.0,0.0,0.0,4
-14762.79,88391.565,-22252.095,-29685.78,0.0,0.0,0.0,0.0,4
-14779.575,88390.395,-22257.63,-29685.87,0.0,0.0,0.0,0.0,4
-14800.41,88392.375,-22264.965,-29689.515,0.0,0.0,0.0,0.0,4
-14774.445,88393.68,-22234.635,-29679.03,0.0,0.0,0.0,0.0,4
-14732.955,88393.545,-22223.79,-29678.04,0.0,0.0,0.0,0.0,4
-14730.21,88390.305,-22229.82,-29683.395,0.0,0.0,0.0,0.0,4
-14748.615,88388.505,-22239.855,-29685.78,0.0,0.0,0.0,0.0,4
-14771.475,88390.935,-22240.62,-29676.42,0.0,0.0,0.0,0.0,4
-14783.22,88393.905,-22258.44,-29680.695,0.0,0.0,0.0,0.0,4
-14803.155,88396.245,-22281.39,-29686.005,0.0,0.0,0.0,0.0,4
-14802.39,88397.01,-22269.33,-29681.595,0.0,0.0,0.0,0.0,4
-14783.94,88394.31,-22246.74,-29675.07,0.0,0.0,0.0,0.0,4
-14795.55,88389.765,-22259.16,-29680.425,0.0,0.0,0.0,0.0,4
-14780.43,88387.245,-22238.415,-29677.59,0.0,0.0,0.0,0.0,4
-14730.345,88388.055,-22194.405,-29659.59,0.0,0.0,0.0,0.0,4
-14727.6,88383.6,-22206.06,-29666.52,0.0,0.0,0.0,0.0,4
-14753.07,88376.445,-22233.69,-29674.08,0.0,0.0,0.0,0.0,4
-14776.695,88372.395,-22264.47,-29693.475,0.0,0.0,0.0,0.0,4
-14795.28,88373.52,-22260.42,-29685.6,0.0,0.0,0.0,0.0,4
-14776.47,88377.255,-22216.68,-29662.56,0.0,0.0,0.0,0.0,4
-14738.895,88378.11,-22196.43,-29658.51,0.0,0.0,0.0,0.0,4
-14748.84,88377.12,-22208.31,-29655.135,0.0,0.0,0.0,0.0,4
-14761.035,88375.185,-22221.945,-29655.45,0.0,0.0,0.0,0.0,4
-14747.895,88374.825,-22222.395,-29661.84,0.0,0.0,0.0,0.0,4
-14752.62,88374.42,-22244.895,-29695.095,0.0,0.0,0.0,0.0,4
-14771.115,88375.995,-22261.77,-29703.915,0.0,0.0,0.0,0.0,4
-14788.53,88374.465,-22275.765,-29706.255,0.0,0.0,0.0,0.0,4
-14799.78,88369.875,-22280.895,-29702.565,0.0,0.0,0.0,0.0,4
-14801.31,88368.255,-22265.055,-29685.96,0.0,0.0,0.0,0.0,4
-14808.105,88367.445,-22265.775,-29682.315,0.0,0.0,0.0,0.0,4
-14788.08,88367.4,-22253.76,-29686.905,0.0,0.0,0.0,0.0,4
-14742.99,88365.87,-22231.17,-29685.42,0.0,0.0,0.0,0.0,4
-14744.295,88367.445,-22225.68,-29678.04,0.0,0.0,0.0,0.0,4
-14759.145,88375.23,-22232.385,-29674.71,0.0,0.0,0.0,0.0,4
-14759.19,88378.605,-22239.27,-29681.505,0.0,0.0,0.0,0.0,4
-14758.425,88376.49,-22234.005,-29674.755,0.0,0.0,0.0,0.0,4
-14758.83,88371.765,-22226.67,-29664.54,0.0,0.0,0.0,0.0,4
-14760.45,88368.03,-22227.21,-29666.295,0.0,0.0,0.0,0.0,4
-14757.93,88366.725,-22229.73,-29666.16,0.0,0.0,0.0,0.0,4
-14777.055,88363.08,-22269.465,-29698.515,0.0,0.0,0.0,0.0,4
-14810.58,88361.145,-22277.07,-29692.08,0.0,0.0,0.0,0.0,4
