CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
14466.24,26459.504999999997,797.985,-10436.94,0.0,0.0,0.0,0.0,6
14740.605,25469.145,1186.11,-10097.28,0.0,0.0,0.0,0.0,6
14560.965,25460.73,954.63,-10304.37,0.0,0.0,0.0,0.0,6
13951.845,26417.07,176.57999999999998,-10989.135,0.0,0.0,0.0,0.0,6
13051.395,28081.71,-889.29,-11934.99,0.0,0.0,0.0,0.0,6
12576.915,29222.055,-1486.485,-12468.285,0.0,0.0,0.0,0.0,6
12497.895,29544.93,-1526.94,-12520.845,0.0,0.0,0.0,0.0,6
13161.06,28621.395,-737.685,-11825.64,0.0,0.0,0.0,0.0,6
14246.64,26892.495,505.26,-10706.085,0.0,0.0,0.0,0.0,6
14825.655,25502.58,1229.895,-10053.09,0.0,0.0,0.0,0.0,6
14689.71,25248.555,1097.28,-10182.105,0.0,0.0,0.0,0.0,6
14291.955,25824.555,545.76,-10660.365,0.0,0.0,0.0,0.0,6
13359.06,27436.275,-538.245,-11621.88,0.0,0.0,0.0,0.0,6
12701.025,28878.03,-1350.54,-12349.395,0.0,0.0,0.0,0.0,6
12486.195,29497.004999999997,-1581.615,-12565.35,0.0,0.0,0.0,0.0,6
12960.0,28960.92,-1033.515,-12094.155,0.0,0.0,0.0,0.0,6
14027.445,27313.875,186.3,-10994.175,0.0,0.0,0.0,0.0,6
14900.175,25557.345,1279.575,-9987.795,0.0,0.0,0.0,0.0,6
14916.285,24942.105,1351.26,-9937.215,0.0,0.0,0.0,0.0,6
14645.205,25220.07,952.56,-10285.515,0.0,0.0,0.0,0.0,6
13756.455,26664.12,-103.23,-11222.82,0.0,0.0,0.0,0.0,6
12866.67,28377.045,-1138.86,-12144.78,0.0,0.0,0.0,0.0,6
12553.695,29236.14,-1524.15,-12499.74,0.0,0.0,0.0,0.0,6
12786.84,29063.295,-1216.395,-12235.815,0.0,0.0,0.0,0.0,6
13731.21,27643.545,-108.18,-11240.145,0.0,0.0,0.0,0.0,6
14879.97,25736.445,1181.52,-10071.855,0.0,0.0,0.0,0.0,6
15189.75,24634.89,1597.005,-9704.34,0.0,0.0,0.0,0.0,6
14998.86,24636.87,1332.72,-9938.88,0.0,0.0,0.0,0.0,6
14283.675,25736.58,448.965,-10718.73,0.0,0.0,0.0,0.0,6
13252.995,27583.74,-723.78,-11767.32,0.0,0.0,0.0,0.0,6
12789.405,28772.504999999997,-1313.19,-12301.38,0.0,0.0,0.0,0.0,6
12832.47,28914.03,-1218.69,-12226.905,0.0,0.0,0.0,0.0,6
13627.53,27795.195,-278.055,-11386.755,0.0,0.0,0.0,0.0,6
14863.23,25889.67,1082.43,-10156.905,0.0,0.0,0.0,0.0,6
15498.495,24337.035,1864.98,-9445.32,0.0,0.0,0.0,0.0,6
15359.445,24065.955,1733.6699999999998,-9562.455,0.0,0.0,0.0,0.0,6
14857.785,24760.89,1083.51,-10130.22,0.0,0.0,0.0,0.0,6
13811.535,26543.385,-127.215,-11215.53,0.0,0.0,0.0,0.0,6
13104.63,28113.435,-972.045,-11976.03,0.0,0.0,0.0,0.0,6
12979.71,28617.48,-1095.57,-12096.135,0.0,0.0,0.0,0.0,6
13576.5,27861.885,-383.94,-11461.815,0.0,0.0,0.0,0.0,6
14803.83,26039.655,978.165,-10233.27,0.0,0.0,0.0,0.0,6
15832.35,24072.84,2142.81,-9170.595,0.0,0.0,0.0,0.0,6
15838.11,23458.41,2195.595,-9132.12,0.0,0.0,0.0,0.0,6
15520.77,23756.76,1778.58,-9483.165,0.0,0.0,0.0,0.0,6
14595.48,25277.4,665.865,-10482.345,0.0,0.0,0.0,0.0,6
13637.43,27149.67,-423.045,-11463.48,0.0,0.0,0.0,0.0,6
13271.22,28095.93,-790.65,-11790.54,0.0,0.0,0.0,0.0,6
13656.555,27768.06,-349.245,-11408.715,0.0,0.0,0.0,0.0,6
14794.155,26128.98,925.695,-10258.965,0.0,0.0,0.0,0.0,6
16127.19,23873.22,2371.635,-8943.93,0.0,0.0,0.0,0.0,6
16393.905,22773.195,2744.055,-8609.265,0.0,0.0,0.0,0.0,6
16216.92,22762.17,2496.555,-8819.64,0.0,0.0,0.0,0.0,6
15446.88,23918.985,1551.645,-9656.01,0.0,0.0,0.0,0.0,6
