,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
0,-149.264133,130.656581,-228.409102,-567.943924,-588.47139,-1538.082537,-811.427288,-55.527482,1.5273419368440362
1,382.264886,322.928533,-199.46678,-332.50647,-187.581439,-796.433931,-183.508006,477.99313,1.5730987912097694
2,572.793906,446.200486,-174.524458,-262.069016,-50.691488,-479.785324,128.411277,705.513743,1.6187511436161215
3,766.322926,318.472438,-370.582136,10.368439,879.198463,749.863282,1196.33056,1053.034356,1.6638800954286213
4,970.851946,320.74439,-351.639814,392.805893,1599.088414,1681.511889,1727.249843,1296.554969,1.7080735040289714
5,57.380966,-15.983658,-134.697492,129.243347,760.978365,522.160495,612.169126,764.075581,1.750933040581386
6,-165.090014,124.288294,-1.75517,-250.319199,-82.131683,-646.190898,-494.911591,455.596194,1.7920809585791078
7,-97.560995,359.560246,-29.812848,-551.881745,-681.241732,-1474.542291,-1234.992308,-184.883193,1.8311664367601024
8,32.968025,242.832198,-134.870526,-646.444291,-834.351781,-1722.893685,-1269.073025,-240.362581,1.8678713700192218
9,-402.502955,200.10415,62.071796,-649.006837,-1197.46183,-2414.245078,-1627.153742,-533.841968,1.9019154947506096
10,-38.973935,180.376102,-118.985883,-530.569382,-639.571879,-1540.596472,-786.234459,6.678645,1.9330607503034822
11,333.555085,274.648054,-143.043561,-327.131928,-205.681928,-813.947865,-96.315176,390.199258,1.961114795545223
12,796.084105,555.920006,21.898761,-12.694474,297.208023,-177.299258,434.604106,813.71987,1.9859336184707157
13,1556.613125,763.191958,-66.158917,263.74298,1065.097974,991.349348,1511.523389,1639.240483,2.0074231969144662
14,1682.142144,701.46391,-252.216595,258.180434,1404.987925,1640.997955,1943.442672,1882.761096,2.0255401892286606
15,881.671164,529.735862,27.725727,198.617888,791.877876,535.646561,586.361955,872.281708,2.040291654792381
16,145.200184,280.007814,154.668049,-83.944658,-160.232173,-708.704832,-564.718762,-21.197679,2.051733824924275
17,-542.270796,222.279766,149.610371,-415.507203,-760.342222,-1500.056226,-1329.799479,-538.677066,2.0599699647076153
18,-938.741776,95.551719,-188.447307,-778.069749,-1106.452271,-1964.407619,-1501.880196,-584.156453,2.0651473849542343
19,-1184.212756,67.823671,-10.504985,-651.632295,-1235.56232,-2558.759012,-1907.960913,-1043.635841,2.067453680620955
20,-193.683737,445.095623,-2.562663,-354.194841,-493.672369,-1531.110406,-950.04163,-344.115228,2.067112287084209
21,331.845283,398.367575,-250.620341,-419.757387,-251.782417,-823.461799,-212.122347,328.405385,2.0643774584656063
22,604.374303,280.639527,-377.678019,-434.319933,-99.892466,-413.813193,306.796935,839.925997,2.059528782434519
23,1268.903323,381.911479,-657.735698,-230.882479,751.997485,812.835414,1394.716218,1527.44661,2.052865353410353
24,1526.432343,664.183431,-406.793376,257.554976,1423.887436,1635.484021,1796.635501,1693.967223,2.0446997307328547
25,595.961363,458.455383,-342.851054,-72.00757,632.777387,465.132627,585.554784,725.487836,2.035351810119316
26,-137.509618,307.727335,-333.908732,-526.570116,-214.332662,-777.218766,-585.525933,-48.991552,2.025142735607788
27,-501.980598,34.999287,-222.96641,-543.132662,-662.442711,-1446.57016,-1203.60665,-483.470939,2.014388975287144
28,-523.451578,-8.728761,-255.024088,-626.695208,-724.55276,-1673.921553,-1173.687367,-533.950326,2.003396677592496
29,-654.922558,162.543191,-136.081766,-865.257754,-1257.662809,-2514.272947,-1646.768084,-745.429714,1.9924564160098326
30,-47.393538,355.815143,-53.139444,-452.8203,-811.772858,-1722.62434,-801.848801,-116.909101,1.9818384189493299
31,285.135482,389.087095,-49.197122,-229.382845,-240.882907,-868.975733,-137.929518,269.611512,1.971788368618075
32,502.664502,349.359047,-230.2548,-161.945391,44.007044,-366.327127,254.989764,504.132125,1.962523838289778
33,1209.193521,413.630999,-686.312478,-302.507937,642.896995,706.32148,1276.909047,1236.652737,1.9542314217967867
34,1655.722541,638.902951,-411.370156,218.929517,1321.786946,1613.970086,1812.82833,1677.17335,1.9470645927396788
35,1207.251561,866.174904,136.572166,290.366971,778.676897,668.618693,750.747613,1045.693963,1.9411423142096098
36,415.780581,713.446856,230.514488,-7.195575,-27.433152,-532.732701,-374.333104,180.214575,1.9365484031334588
37,-189.690399,282.718808,56.456809,-265.758121,-446.5432,-1150.084094,-980.413821,-349.264812,1.933331637055099
38,-406.161379,103.99076,-148.600869,-649.320666,-933.653249,-1627.435487,-1171.494538,-530.744199,1.931506575611321
39,-727.63236,7.262712,-281.658547,-1097.883212,-1719.763298,-2660.786881,-1775.575255,-802.223586,1.9310550544740956
40,-256.10334,19.534664,-330.716225,-691.445758,-882.873347,-1764.138274,-998.655972,-178.702974,1.9319282964038509
41,239.42568,230.806616,-186.773903,-247.008304,-287.983396,-849.489668,-197.736689,308.817639,1.9340495725433948
42,438.9547,291.078568,-162.831581,-24.57085,149.906555,-242.841061,259.182593,565.338252,1.937317337386994
43,1048.48372,277.35052,-445.889259,121.866604,997.796506,965.807546,1462.101876,1346.858864,1.941608753144388
44,1464.01274,443.622472,-464.946937,231.304058,1331.686457,1730.456152,1969.021159,1719.379477,1.9467835135961284
45,847.541759,545.894424,71.995385,433.741513,626.576408,605.104759,681.940442,915.90009,1.9526878740651104
46,98.070779,289.166376,-58.062293,-76.821033,-251.533641,-593.246635,-477.140275,110.420703,1.9591587928198628
47,-511.400201,57.438328,-144.119971,-517.383579,-704.64369,-1322.598028,-1169.220992,-443.058685,1.9660280900396665
48,-674.871181,3.71028,-96.177649,-484.946125,-781.753739,-1627.949422,-1244.301709,-563.538072,1.9731265333252515
49,-940.342161,-118.017768,-237.235327,-857.508671,-1375.863788,-2476.300815,-1713.382426,-863.017459,1.9802877635043348
50,-203.813141,60.254184,-317.293006,-626.071217,-806.973837,-1618.652208,-840.463143,-139.496847,1.9873519809927054
51,421.715879,238.526137,-281.350684,-388.633763,-245.083886,-782.003602,-94.54386,459.023766,1.9941693210295848
52,686.244898,416.798089,-51.408362,-33.196308,214.806065,-193.354995,346.375422,694.544379,2.0006028554832183
53,1308.773918,560.070041,-15.46604,439.241146,1137.696017,1025.293611,1486.294705,1402.064992,2.0065311693697154
54,1396.302938,483.341993,-364.523718,326.6786,1475.585968,1684.942218,1931.213988,1537.585604,2.011850471479872
55,590.831958,396.613945,-261.581396,10.116054,647.475919,532.590824,615.133271,528.106217,2.01647621029027
56,-42.639022,351.885897,-103.639074,-261.446492,-122.63413,-677.760569,-538.947446,-224.37317,2.0203441783684637
57,-88.110002,386.157849,33.303248,-340.009038,-420.744179,-1192.111962,-943.028163,-60.852558,2.023411100492773
58,-192.580983,402.429801,49.24557,-373.571584,-524.854228,-1438.463356,-1006.10888,-94.331945,2.025654712429337
59,-653.051963,331.701753,106.187892,-616.134129,-1241.964277,-2493.814749,-1675.189597,-686.811332,2.0270733484913315
60,-224.522943,264.973705,-253.869786,-520.696675,-744.074326,-1656.166143,-850.270314,-89.290719,2.027685066415842
61,212.006077,399.245657,-266.927464,-312.259221,-284.184375,-866.517536,-133.351031,368.229893,2.0275263475250704
62,421.535097,512.517609,-257.985142,-120.821767,174.705576,-306.868929,359.568251,574.750506,2.0266504184104353
63,1098.064117,776.789561,-324.04282,33.615687,859.595527,823.779677,1401.487534,1301.271119,2.025125247341766
64,1330.593137,782.061513,-293.100499,240.053141,1293.485478,1529.428284,1841.406817,1523.791731,2.02303127414339
65,686.122156,631.333465,-74.158177,146.490595,564.375429,400.07689,654.3261,683.312344,2.0204589363135597
66,-235.348824,387.605417,138.784145,10.92805,-65.73462,-640.274503,-379.754617,-88.167043,2.0175060566479934
67,-845.819804,252.87737,319.726467,-215.634496,-615.844669,-1361.625897,-976.835334,-420.64643,2.0142751585525787
68,-668.290784,241.149322,-127.331211,-614.197042,-981.954717,-1768.97729,-1077.916051,-363.125818,2.0108707746197134
69,-244.761764,553.421274,76.611111,-582.759588,-1231.064766,-2388.328683,-1455.996768,-482.605205,2.007396811956009
70,434.767256,623.693226,106.553433,-272.322134,-676.174815,-1488.680077,-556.077485,118.915408,2.003954034275948
71,441.296275,499.965178,-244.504245,-310.88468,-358.284864,-729.03147,83.841798,418.43602,2.0006377160349125
72,672.825295,589.23713,-240.561923,-151.447226,190.605087,-147.382864,482.76108,687.956633,1.997535518009393
73,1189.354315,647.509082,-411.619601,42.990229,852.495038,889.265743,1438.680363,1223.477246,1.994725626907274
74,1176.883335,475.781034,-581.677279,68.427683,1174.384989,1527.914349,1695.599646,1127.997859,1.9922751939894154
75,305.412355,243.052986,-504.734957,-244.134863,401.27494,354.562956,448.518929,220.518471,1.990239099501
76,-153.058625,271.324938,-371.792635,-605.697409,-473.835109,-898.788437,-722.561788,-192.960916,1.9886590611512458
77,-283.529606,370.59689,-143.850313,-581.259955,-919.945158,-1551.139831,-1279.642505,-324.440303,1.9875630961505717
78,-165.000586,400.868842,36.092008,-386.822501,-830.055207,-1656.491224,-1201.723222,-360.919691,1.9869653376216068
79,-329.471566,254.140794,-60.96567,-656.385047,-1160.165256,-2413.842618,-1614.803939,-534.399078,1.986866197745316
80,-107.942546,204.412746,-224.023348,-435.947592,-675.275305,-1607.194011,-849.884656,-58.878465,1.9872528619764658
81,181.586474,479.684698,-269.081026,-213.510138,-286.385354,-954.545404,-257.965373,316.642148,1.9881000912400901
82,455.115494,546.95665,-354.138704,-144.072684,91.504597,-393.896798,247.953909,508.16276,1.9893713023608879
83,1140.644514,735.228602,-441.196382,24.36477,869.394548,788.751809,1299.873192,1230.683373,1.9910198912175758
84,1718.173533,1101.500555,36.74594,605.802224,1398.2845,1557.400415,1822.792475,1638.203986,1.9929907583670834
85,1025.702553,780.772507,-161.311738,174.239678,668.174451,431.049022,599.711758,911.724598,1.9952219932359174
86,8.231573,569.044459,17.630584,-7.322868,-82.935598,-778.302372,-694.368959,-162.754789,1.9976466704868874
87,-573.239407,509.316411,-108.427094,-506.885413,-873.045647,-1608.653765,-1355.449676,-854.234176,2.000194710868847
88,-604.710387,361.588363,-133.484772,-418.447959,-880.155696,-1741.005158,-1230.530393,-783.713563,2.0027947587465493
89,-489.181367,389.860315,279.45755,-54.010505,-1095.265745,-2440.356552,-1597.61111,-717.192951,2.0053760295599385
90,308.347652,762.132267,379.399872,61.426949,-583.375794,-1500.707945,-564.691827,342.327662,2.007870082622714
91,334.876672,540.404219,-99.657807,-44.135597,-261.485843,-865.059339,-17.772544,458.848275,2.010212477858705
92,350.405692,220.676171,-956.715485,-771.698143,-384.595892,-685.410732,245.146738,507.368887,2.0123442791882633
93,1265.934712,601.948123,-867.773163,-380.260689,516.294059,535.237875,1379.066021,1360.8895,2.014213372192076
94,1768.463732,1020.220075,-431.830841,186.176766,1095.18401,1347.886481,1870.985304,1729.410113,2.0157755692561006
95,697.992752,585.492027,-305.888519,150.61422,470.073961,267.535088,596.904587,736.930726,2.016995481485044
96,22.521771,438.763979,-269.946197,-332.948326,-440.036088,-956.816306,-559.17613,-99.548662,2.0178471430999876
97,-506.949209,251.035931,-324.003875,-634.510872,-988.146137,-1682.167699,-1175.256847,-604.028049,2.0183143806402506
98,-596.420189,330.307883,-129.061553,-467.073418,-1041.256186,-1942.519093,-1231.337564,-624.507436,2.0183909259014476
99,-887.891169,260.579835,-186.119231,-805.635964,-1695.366234,-2816.870486,-1666.418281,-882.986824,2.018080277995348
100,-311.362149,524.851788,-62.176909,-563.19851,-1043.476283,-1942.221879,-908.498998,-291.466211,2.017395326054457
101,306.166871,478.12374,-346.234587,-281.761055,-387.586332,-950.573273,-59.579715,331.054402,2.0163577497784475
102,697.695891,564.395692,-525.292265,-320.323601,-104.696381,-458.924666,351.339567,749.575015,2.0149972200985573
103,1281.22491,771.667644,-439.349943,89.113853,694.19357,738.72394,1408.25885,1363.095627,2.0133504266057094
104,1610.75393,875.939596,-482.407621,228.551307,1141.083521,1501.372547,1877.178133,1685.61624,2.0114599619547473
105,594.28295,642.211548,-210.4653,95.988761,361.973472,285.021153,632.097416,758.136853,2.009373096149653
106,-423.18803,462.4835,72.477022,-197.573785,-473.136577,-963.33024,-590.983301,-157.342535,2.007140475385824
107,-725.65901,433.755452,-22.580656,-472.136331,-898.246626,-1629.681633,-1285.064018,-729.821922,2.0048147809530263
108,-83.12999,739.027404,170.361666,-491.698876,-1175.356675,-2056.033027,-1424.144735,-637.301309,2.0024493835891826
109,-219.600971,524.299356,141.303988,-594.261422,-1508.466724,-2765.38442,-1846.225452,-766.780696,2.000097027647676
110,-57.071951,412.571308,-219.75369,-561.823968,-865.576773,-1821.735814,-921.306169,-200.260084,1.9978085775496686
111,-109.542931,235.84326,-425.811368,-508.386514,-486.686822,-1135.087207,-389.386886,-409.739471,1.9956318563099331
112,342.986089,641.115212,-59.869046,-91.94906,-144.796871,-617.4386,72.532397,-515.218858,1.993610602540925
113,1521.515109,1263.387164,423.073276,618.488394,924.09308,796.210006,1425.451679,958.301754,1.9917835683628884
114,1516.044129,1018.659116,-82.984402,499.925848,1288.983031,1503.858613,1864.370962,1826.822367,1.990183776198692
115,430.573148,779.931068,59.95792,279.363303,458.872983,271.507219,518.290245,721.34298,1.9888379476417457
116,-9.897832,826.203021,-62.099758,-278.199243,-483.237066,-993.844174,-689.790472,-112.136407,1.98776611259072
117,-259.368812,527.474973,-237.157436,-999.761789,-1345.347115,-1901.195568,-1373.871189,-427.615795,1.9869814017852332
118,-296.839792,284.746925,-227.215115,-734.324335,-1253.457164,-2081.546961,-1304.951906,-129.095182,1.9864900208901681
119,-718.310772,324.018877,-78.272793,-664.886881,-1474.567213,-2708.898354,-1698.032623,-532.574569,1.9862913994956832
120,-271.781752,701.290829,-103.330471,-473.449427,-973.677262,-1973.249748,-1045.11334,-220.053957,1.9863785039495945
121,317.747268,632.562781,-429.388149,-579.011973,-678.787311,-1334.601141,-381.194057,367.466656,1.9867382989310727
122,386.276287,495.834733,-428.445827,-454.574518,-370.89736,-835.952535,45.725226,557.987269,1.9873523392072039
123,1117.805307,740.106685,-433.503505,-68.137064,584.992591,503.696072,1182.644508,1232.507882,1.9881974701674645
124,1781.334327,1026.378637,-244.561183,363.30039,1389.882542,1554.344678,1961.563791,1988.028494,1.989246613567119
125,1191.863347,1123.650589,214.381139,263.737844,701.772493,468.993285,810.483074,1287.549107,1.990469613470264
126,202.392367,942.922541,232.323461,-218.824702,-384.337556,-1049.358108,-636.597643,21.06972,1.9918341166868776
127,-328.078613,752.194493,259.265783,-389.387248,-954.447605,-1752.709502,-1266.67836,-476.409668,1.9933064620447656
128,-405.549594,406.466445,75.208105,-492.949794,-1207.557654,-2080.060895,-1250.759077,-471.889055,1.994852553605037
129,-631.020574,300.738397,202.150427,-586.512339,-1470.667703,-2731.412289,-1661.839794,-739.368442,1.996438694377344
130,-55.491554,504.010349,-255.907251,-784.074885,-769.777752,-1791.763682,-760.920511,-108.847829,1.9980323591590476
131,194.037466,625.282301,-149.964929,-386.637431,-383.8878,-1166.115075,-161.001228,230.672783,1.99960288773515
132,321.566486,608.554253,-212.022608,-304.199977,-91.997849,-578.466469,281.918055,421.193396,2.001122082743981
133,1434.095506,1039.826206,-253.080286,-55.762523,714.892102,616.182138,1378.837337,1383.714009,2.0025646999371496
134,1937.624525,1305.098158,-60.137964,349.674931,1312.782053,1421.830744,1897.75662,1828.234621,2.003908822233303
135,897.153545,955.37011,-79.195642,-33.887615,428.672004,200.479351,584.675903,861.755234,2.0051361127713543
136,-16.317435,577.642062,-58.25332,-344.45016,-418.438045,-1050.872043,-604.404814,-6.724153,2.006231945996268
137,-373.788415,628.914014,285.689002,-216.012706,-714.548094,-1720.223436,-1202.485531,-475.20354,2.007185419547586
138,-498.259395,556.185966,103.631324,-382.575252,-842.658143,-1904.574829,-1205.566248,-535.682928,2.0079892532611683
139,-746.730375,494.457918,-154.426354,-909.137798,-1551.768192,-2819.926223,-1689.646965,-905.162315,2.008639584839451
140,-177.201355,679.72987,70.515968,-383.700344,-821.878241,-1862.277616,-897.727682,-348.641702,2.009135674606892
141,389.327664,809.001822,-100.54171,-287.26289,-369.98829,-1011.62901,-154.808399,305.87891,2.0094795341701355
142,535.856684,759.273774,-353.599388,-427.825436,-247.098339,-657.980403,207.110884,636.399523,2.009675495686557
143,1257.385704,969.545726,-354.657066,-141.387981,630.791612,551.668203,1372.030166,1415.920136,2.009729739766258
144,1604.914724,1109.817678,-340.714744,130.049473,1238.681563,1422.31681,1874.949449,1699.440749,2.0096498007643744
145,914.443744,1156.08963,91.227577,78.486927,433.571514,244.965417,641.868732,799.961361,2.009444068353247
146,52.972764,779.361582,26.169899,-153.075619,-299.538534,-904.385977,-545.211985,0.481974,2.00912130380583
147,-447.498217,519.633534,-142.887779,-462.638165,-859.648583,-1687.73737,-1234.292702,-454.997413,2.0086901883976034
148,-415.969197,614.905486,40.054543,-492.200711,-1090.758632,-2023.088764,-1267.373419,-458.476801,2.0081589197852066
149,-688.440177,596.177439,249.996865,-461.763257,-1408.868681,-2729.440157,-1688.454136,-732.956188,2.0075348702013778
150,-375.911157,583.449391,34.939187,-315.325802,-824.97873,-1816.79155,-790.534853,-166.435575,2.006824317885627
151,-446.382137,340.721343,-204.118491,-309.888348,-436.088779,-1051.142944,-71.61557,210.085038,2.0060322604271033
152,120.146883,711.993295,-188.176169,-221.450894,-240.198828,-676.494337,273.303713,538.60565,2.0051623157169955
153,1524.675902,1396.265247,101.766153,292.98656,551.691123,476.154269,1308.222995,1349.126263,2.004216713084882
154,1954.204922,1377.537199,-40.291525,472.424014,1033.581074,1250.802876,1778.142278,1662.646876,2.003196374021807
155,659.733942,835.809151,-167.349203,-120.138532,220.471025,194.451482,610.061561,685.167488,2.002101078767901
156,-47.737038,741.081103,223.593119,-215.701078,-629.639024,-1034.899911,-668.019156,-107.311899,2.000929712056955
157,-170.208018,581.353055,69.535441,-511.263623,-994.749073,-1569.251304,-1080.099873,-232.791286,1.999680578552368
158,-85.678998,794.625007,398.477763,-286.826169,-1016.859122,-1810.602698,-987.18059,-196.270673,1.9983517760586893
159,-810.149978,287.896959,-128.579916,-806.388715,-1552.969171,-2659.954091,-1585.261307,-742.750061,1.9969416125211956
160,-95.620959,678.168911,5.362406,-462.951261,-964.07922,-1921.305485,-855.342024,-69.229448,1.9954490511921188
161,254.908061,786.440863,164.304728,48.486193,-364.189269,-1056.656878,-122.422741,326.291165,1.993874167192654
162,360.437081,619.712815,-89.75295,-192.076353,3.700683,-497.008271,390.496542,532.811777,1.9922185980670937
163,1129.966101,730.984767,-239.810628,-32.638899,624.590634,553.640335,1375.415824,1392.33239,1.990485970826901
164,1627.495121,958.256719,-293.868306,280.798556,1336.480585,1415.288942,1847.335107,1882.853003,1.988682288420618
165,828.024141,914.528672,215.074016,358.23601,554.370536,305.937548,641.25439,927.373616,1.9868162595276022
166,-34.44684,620.800624,72.016338,-285.326536,-445.739513,-903.413845,-488.826327,32.894228,1.9848995570324246
167,-405.91782,435.072576,-233.04134,-737.889082,-1109.849562,-1647.765239,-1117.907044,-393.585159,1.9829469924513805
168,-240.3888,673.344528,121.900982,-523.451628,-1169.959611,-1886.116632,-1161.987761,-310.064546,1.9809765958995402
169,-315.85978,921.61648,573.843304,-426.014174,-1491.06966,-2501.468025,-1451.068478,-461.543934,1.9790095938415981
170,238.66924,975.888432,335.785626,-267.57672,-878.179709,-1605.819419,-604.149195,189.976679,1.9770702797887687
171,500.19826,870.160384,29.727948,-172.139265,-413.289758,-898.170812,-43.229912,533.497292,1.9751857762062675
172,639.72728,916.432336,181.67027,166.298189,-80.399807,-461.522206,323.689371,605.017905,1.9733856890956896
173,1266.256299,1017.704288,-5.387409,297.735643,714.490144,708.126401,1386.608653,1286.538517,1.9717016599254946
174,1500.785319,1099.97624,-120.445087,333.173097,989.380095,1330.775007,1797.527936,1557.05913,1.9701668227121159
175,546.314339,942.248192,79.497235,152.610551,252.270046,220.423614,490.447219,523.579743,1.9688151770172648
176,-265.156641,695.520144,217.439557,112.048005,-401.840003,-867.927779,-670.633498,-532.899645,1.967680890341501
177,-802.627621,275.792096,-71.618121,-475.514541,-1152.950051,-1685.279173,-1354.714215,-936.379032,1.9667975457841658
178,-1009.098601,50.064048,-448.675799,-936.077086,-1456.0601,-2064.630566,-1287.794932,-545.858419,1.966197352837974
